date,asset_class,trade_count,total_notional_bn,usd_notional_bn,cleared_count,cleared_notional_bn,uncleared_notional_bn,cleared_pct,cleared_notional_pct,pb_count,pb_pct,block_count,block_pct,avg_trade_size_bn
2025-06-23,RATES,19503,26552.518107356,1034.817900642,14264,17484.907326745,9067.610780611,0.7313746603086705,0.658502792693739,84,0.0043070296877403,1162,0.0595805773470748,1.361458140150541
2025-06-24,COMMODITIES,40522,27.205483843,13.83205101,0,0.0,27.205483843,0.0,0.0,28,0.0006909826760771,0,0.0,0.0006713756439218
2025-06-24,CREDITS,1839,182.818066195,39.777051195,1460,49.178877,133.639189195,0.7939097335508428,0.2690044699824366,0,0.0,214,0.1163675910821098,0.0994116727542142
2025-06-24,EQUITIES,595203,745.212802832,120.859572057,0,0.0,745.212802832,0.0,0.0,0,0.0,0,0.0,0.0012520313285248
2025-06-24,FOREX,60187,75960.476149378,190.086443545,4167,8269.82514429,67690.651005088,0.0692342200142888,0.1088701067121696,25440,0.422682639108113,1167,0.0193895691760679,1.2620744703902502
2025-06-24,RATES,29453,33580.557649895,1030.153374655,23324,22565.223582,11015.334067895,0.7919057481411061,0.6719728664800941,37,0.0012562387532679,1094,0.037143924218246,1.1401404831390691
2025-06-25,COMMODITIES,7794,27.201403548,8.085949644,0,0.0,27.201403548,0.0,0.0,29,0.0037208108801642,2,0.0002566076469078,0.0034900440785219
2025-06-25,CREDITS,1255,82.15883818,33.742134675,955,32.178289205,49.980548975,0.7609561752988048,0.3916594966265381,1,0.0007968127490039,138,0.1099601593625498,0.0654652097051792
2025-06-25,EQUITIES,710478,1081.129622642,142.952982827,0,0.0,1081.129622642,0.0,0.0,0,0.0,0,0.0,0.0015216933144193
2025-06-25,FOREX,51521,42045.235066697,148.863403854,3501,4456.190862649,37589.044204048,0.0679528735855282,0.105985633225265,22065,0.4282719667708313,883,0.0171386424952931,0.8160795610857127
2025-06-25,RATES,21410,31914.626635246,953.12663916,15321,22014.899876526,9899.72675872,0.7156001868285847,0.6898059666539573,31,0.0014479215319943,1160,0.0541802895843064,1.490641131959178
2025-06-26,COMMODITIES,9259,16.567300612,10.451352384,0,0.0,16.567300612,0.0,0.0,70,0.0075602116859272,3,0.000324009072254,0.0017893185670158
2025-06-26,CREDITS,1308,105.933986475,40.068901231,917,29.545527,76.388459475,0.7010703363914373,0.2789050802593238,0,0.0,111,0.0848623853211009,0.0809892862958715
2025-06-26,EQUITIES,693861,981.742254065,144.432535335,0,0.0,981.742254065,0.0,0.0,0,0.0,0,0.0,0.0014148975862096
2025-06-26,FOREX,61472,61577.470975104,191.726098098,4450,5825.336549057,55752.134426047,0.0723906819364914,0.0946017505560143,26417,0.4297403695991671,1104,0.0179593961478396,1.0017157563623114
2025-06-26,RATES,27687,30732.85554825,1725.75861337,19566,19085.76477401,11647.09077424,0.7066854480442085,0.6210215234977339,64,0.0023115541589915,1188,0.0429082240762812,1.1100103134413264
2025-06-27,COMMODITIES,13470,19.350828257,13.571167429,45,1.165,18.185828257,0.0033407572383073,0.0602041413694305,52,0.0038604305864884,3,0.0002227171492204,0.0014365871014847
2025-06-27,CREDITS,1244,51.614356065,30.880546065,965,28.973529,22.640827065,0.7757234726688103,0.561346323172423,0,0.0,100,0.0803858520900321,0.0414906399236334
2025-06-27,EQUITIES,616581,992.72515932,115.714380115,0,0.0,992.72515932,0.0,0.0,0,0.0,0,0.0,0.0016100482488432
2025-06-27,FOREX,69850,35700.390985006,154.319190529,3445,4497.251977914,31203.139007092,0.0493199713672154,0.1259720651183575,21713,0.3108518253400143,777,0.0111238367931281,0.5111008015033071
2025-06-27,RATES,17495,32131.902444107,798.605491052,12587,22570.599181608,9561.303262499,0.7194627036296085,0.7024358181364843,28,0.0016004572735067,1200,0.0685910260074307,1.8366334635099744
2025-06-30,COMMODITIES,24540,16.717413154,12.347628169,0,0.0,16.717413154,0.0,0.0,75,0.0030562347188264,4,0.000162999185004,0.0006812311798696
2025-06-30,CREDITS,1447,96.81167675,33.65607375,1054,32.1824131,64.62926365,0.728403593642018,0.3324228458836191,0,0.0,115,0.0794747753973738,0.0669050979612992
2025-06-30,EQUITIES,619047,654.385717451,145.011149981,0,0.0,654.385717451,0.0,0.0,0,0.0,0,0.0,0.0010570856775834
2025-06-30,FOREX,56092,50160.186231945,149.540616888,3261,4891.834735943,45268.351496002,0.0581366326748912,0.0975242538638659,26420,0.471011909006632,886,0.0157954788561648,0.8942484887674713
2025-06-30,RATES,18409,19435.430502673,769.98577096,11959,12902.383857936,6533.046644737,0.649627899397034,0.6638589176690223,30,0.001629637677223,685,0.037210060296594,1.0557569940068987
2025-07-01,COMMODITIES,7389,22.936118833,21.649399178,0,0.0,22.936118833,0.0,0.0,26,0.0035187440790364,17,0.0023007172824468,0.0031040897053728
2025-07-01,CREDITS,1533,88.558369305,36.869679305,1108,34.373808,54.184561305,0.7227658186562296,0.3881486105690888,0,0.0,120,0.0782778864970645,0.0577680165068493
2025-07-01,EQUITIES,395239,831.808325465,108.59482212,0,0.0,831.808325465,0.0,0.0,0,0.0,2,5.060229380197805e-06,0.0021045704636055
2025-07-01,FOREX,51637,49650.728585713,164.775828988,3328,5252.442412599,44398.286173114,0.0644499099482928,0.1057878214925206,24152,0.4677266301295583,861,0.0166740902840986,0.9615339501851966
2025-07-01,RATES,25112,32434.511081011,1126.001658439,20034,22949.6313416,9484.879739411,0.7977859190825104,0.7075682838036061,49,0.0019512583625358,1133,0.0451178719337368,1.291594101664981
2025-07-02,COMMODITIES,5963,21.202416657,16.271536712,6,0.087,21.115416657,0.0010062049304041,0.0041033058357183,36,0.0060372295824249,22,0.0036894180781485,0.0035556626961261
2025-07-02,CREDITS,1365,60.950646454,29.715596454,1127,34.728195005,26.222451449,0.8256410256410256,0.5697756631869308,1,0.0007326007326007,162,0.1186813186813186,0.0446524882446886
2025-07-02,EQUITIES,620790,932.330574596,113.329696921,0,0.0,932.330574596,0.0,0.0,0,0.0,0,0.0,0.0015018453496286
2025-07-02,FOREX,49046,43877.408009365,135.174174906,3161,4628.153697246,39249.254312119,0.0644497002813685,0.1054791954952805,20648,0.4209925376177466,766,0.0156179912734983,0.8946174613498552
2025-07-02,RATES,22829,37835.80707484,1216.484374383,17259,22488.04539506,15347.76167978,0.7560120898856717,0.5943588133478476,21,0.0009198826054579,1153,0.0505059354330018,1.6573571805528056
2025-07-03,COMMODITIES,9910,9.661654301,7.565592721,0,0.0,9.661654301,0.0,0.0,31,0.0031281533804238,14,0.0014127144298688,0.0009749398891019
2025-07-03,CREDITS,1140,62.23434767,26.552749761,988,30.0990287,32.13531897,0.8666666666666667,0.4836401412866292,0,0.0,131,0.1149122807017543,0.0545915330438596
2025-07-03,EQUITIES,617038,1734.189874069,109.661090524,0,0.0,1734.189874069,0.0,0.0,0,0.0,0,0.0,0.002810507414566
2025-07-03,FOREX,47442,41992.391262456,163.51952529,2973,3353.447431219,38638.943831237,0.0626659921588465,0.0798584536484161,20908,0.4407065469415286,805,0.0169680873487627,0.885131134068041
2025-07-03,RATES,19783,38468.781097979,1400.057994901,14338,23033.5674442,15435.213653779,0.7247636859930243,0.5987600019229644,24,0.0012131628165596,1004,0.0507506444927463,1.9445372844350703
2025-07-04,COMMODITIES,2537,119.843921897,3.767362745,0,0.0,119.843921897,0.0,0.0,17,0.0067008277493102,0,0.0,0.0472384398490342
2025-07-04,CREDITS,405,40.501514659,0.51184004,307,8.87004004,31.631474619,0.7580246913580246,0.2190051437503202,0,0.0,27,0.0666666666666666,0.1000037398987654
2025-07-04,EQUITIES,599857,1365.071235855,92.74564233,0,0.0,1365.071235855,0.0,0.0,0,0.0,0,0.0,0.0022756610923186
2025-07-04,FOREX,24703,23031.071540071,48.997578591,1429,3166.507586784,19864.563953287,0.0578472250333967,0.1374885046609619,12340,0.4995344694976318,469,0.0189855483139699,0.9323188090544064
2025-07-04,RATES,5229,11955.590818194,39.667902647,3374,6559.83458001,5395.756238184,0.6452476572958501,0.5486834301845839,28,0.0053547523427041,353,0.0675081277490916,2.286400997933448
2025-07-07,COMMODITIES,8506,57.411934261,5.957775756,0,0.0,57.411934261,0.0,0.0,36,0.0042323066071008,0,0.0,0.0067495807972019
2025-07-07,CREDITS,1313,90.331235616,34.606055616,1049,32.15899,58.172245616,0.7989337395277989,0.3560118466297589,0,0.0,121,0.0921553693830921,0.0687975899588728
2025-07-07,EQUITIES,579329,1274.05177341,103.99467928,0,0.0,1274.05177341,0.0,0.0,0,0.0,0,0.0,0.0021991852184337
2025-07-07,FOREX,48209,43697.406961188,150.245647625,2979,4156.590725799,39540.816235389,0.0617934410587234,0.0951221368693771,21979,0.4559107220643448,776,0.0160965794768611,0.9064159588705012
2025-07-07,RATES,15793,23065.561024492,823.654793314,11537,14458.531982355,8607.029042137,0.730513518647502,0.6268450165596368,24,0.0015196606091306,837,0.0529981637434306,1.4604926881841322
2025-07-08,COMMODITIES,4779,48.531825274,8.837315454,24,0.62,47.911825274,0.005021971123666,0.0127751222316411,34,0.0071144590918602,1,0.0002092487968194,0.0101552260460347
2025-07-08,CREDITS,1439,104.10212298,40.74951197,1131,38.7304161,65.37170688,0.7859624739402363,0.3720425193196189,0,0.0,125,0.0868658790826963,0.0723433794162612
2025-07-08,EQUITIES,623520,1654.639053465,109.879406515,0,0.0,1654.639053465,0.0,0.0,0,0.0,0,0.0,0.002653706462447
2025-07-08,FOREX,50225,54858.163873878,183.223318224,2641,4750.784607391,50107.379266487,0.0525833748133399,0.0866012325588096,22879,0.4555301144848183,934,0.0185963165754106,1.0922481607541663
2025-07-08,RATES,24135,36093.216879299,1328.956426133,19097,26173.01097281,9920.205906489,0.7912575098404806,0.725150408741243,30,0.0012430080795525,1033,0.0428009115392583,1.4954720066003313
2025-07-09,COMMODITIES,3825,27.026526838,6.629994193,0,0.0,27.026526838,0.0,0.0,25,0.0065359477124183,1,0.0002614379084967,0.0070657586504575
2025-07-09,CREDITS,1381,211.394153321,36.181362015,1065,33.956662,177.437491321,0.7711803041274439,0.1606319827986781,1,0.000724112961622,107,0.0774800868935554,0.1530732464308472
2025-07-09,EQUITIES,672300,2410.80220936,130.555773995,0,0.0,2410.80220936,0.0,0.0,0,0.0,0,0.0,0.0035859024384352
2025-07-09,FOREX,44919,36007.285155387,141.214615939,2703,3492.447061658,32514.838093729,0.0601749816336071,0.0969927903919049,20227,0.4502994278590351,906,0.0201696386829626,0.8016047809476391
2025-07-09,RATES,19020,37617.996406906,1285.424669422,14042,23922.82269361,13695.173713296,0.7382754994742377,0.6359409053805479,21,0.0011041009463722,961,0.0505257623554153,1.977812639690116
2025-07-10,COMMODITIES,7450,7.86928225,5.972637615,0,0.0,7.86928225,0.0,0.0,26,0.003489932885906,1,0.0001342281879194,0.0010562794966442
2025-07-10,CREDITS,1134,48.318904505,31.143252505,893,27.065554,21.253350505,0.7874779541446209,0.5601441977476803,1,0.0008818342151675,121,0.1067019400352733,0.0426092632319224
2025-07-10,EQUITIES,635733,1170.083651983,112.020296293,0,0.0,1170.083651983,0.0,0.0,0,0.0,0,0.0,0.0018405268437897
2025-07-10,FOREX,43197,39792.987221279,151.224866293,2257,5150.656591105,34642.330630174,0.0522489987730629,0.12943628892356,18808,0.4354006065236012,994,0.0230108572354561,0.921197935534389
2025-07-10,RATES,18914,42433.090406534,893.486422166,13888,29486.72498521,12946.365421324,0.7342709104367136,0.6948993038854773,36,0.0019033520143808,717,0.0379084276197525,2.243475225046738
2025-07-11,COMMODITIES,11503,65.391602042,16.52270168,15,0.385,65.006602042,0.0013040076501782,0.0058876061753728,28,0.002434147613666,2,0.0001738676866904,0.0056847432880118
2025-07-11,CREDITS,1215,46.126855,25.012865,1029,30.078932,16.047923,0.8469135802469135,0.6520915419011333,1,0.0008230452674897,97,0.079835390946502,0.0379644897119341
2025-07-11,EQUITIES,597218,1388.951231685,115.51919585,0,0.0,1388.951231685,0.0,0.0,0,0.0,0,0.0,0.0023257022254603
2025-07-11,FOREX,42424,32366.488540773,105.553902591,2580,4352.538425901,28013.950114872,0.0608146332264755,0.1344766955617685,20611,0.4858334904770884,838,0.0197529700169715,0.7629287323395484
2025-07-11,RATES,14450,26892.335562262,1069.332175805,10070,19509.480391,7382.855171262,0.696885813148789,0.7254661963380244,17,0.0011764705882352,764,0.0528719723183391,1.8610612845856056
2025-07-14,COMMODITIES,6028,23.673231992,8.724064234,0,0.0,23.673231992,0.0,0.0,36,0.0059721300597213,0,0.0,0.0039272116775049
2025-07-14,CREDITS,982,57.183458,23.465758,795,24.468088,32.71537,0.8095723014256619,0.4278875194990831,0,0.0,100,0.1018329938900203,0.0582316272912423
2025-07-14,EQUITIES,701115,1257.736317538,125.324472393,0,0.0,1257.736317538,0.0,0.0,0,0.0,2,2.8525990743316005e-06,0.001793908727581
2025-07-14,FOREX,43114,39538.043358534,124.370465322,2125,3974.165021967,35563.878336567,0.04928793431368,0.1005149644338483,18839,0.4369578327225495,736,0.0170710210140557,0.9170581100926382
2025-07-14,RATES,16152,28675.381578192,1121.206711745,12134,18238.06708923,10437.314488962,0.7512382367508668,0.6360182876555089,18,0.00111441307578,874,0.0541109460128776,1.7753455657622583
2025-07-15,COMMODITIES,6923,34.220282702,16.905034967,0,0.0,34.220282702,0.0,0.0,46,0.0066445182724252,24,0.0034667051856131,0.0049429846456738
2025-07-15,CREDITS,1650,175.877773286,43.117371348,1346,41.7546697,134.123103586,0.8157575757575758,0.2374073137263428,0,0.0,147,0.0890909090909091,0.106592589870303
2025-07-15,EQUITIES,639831,1255.062425,118.776156725,0,0.0,1255.062425,0.0,0.0,0,0.0,0,0.0,0.0019615530116546
2025-07-15,FOREX,49741,54066.692460704,170.042580321,3096,5263.306999441,48803.385461263,0.0622424157133953,0.0973484184050356,20912,0.4204177640176112,849,0.0170684143865221,1.0869643244145473
2025-07-15,RATES,26613,36612.080515694,1705.612314482,18213,24836.00120151,11776.079314184,0.6843647841280577,0.6783553639041052,57,0.0021418103934167,767,0.0288205012587833,1.3757216591776198
2025-07-16,COMMODITIES,8426,12.906681083,10.792748912,0,0.0,12.906681083,0.0,0.0,45,0.0053406123902207,8,0.0009494422027059,0.0015317684646332
2025-07-16,CREDITS,1888,76.179698975,46.59638797,1361,42.3561629,33.823536075,0.7208686440677966,0.5560032852571403,0,0.0,139,0.0736228813559322,0.0403494168299788
2025-07-16,EQUITIES,624288,2138.0480332,116.461886595,0,0.0,2138.0480332,0.0,0.0,0,0.0,0,0.0,0.0034247783606284
2025-07-16,FOREX,49453,45607.325105876,136.802743159,2979,5379.305274325,40228.019831551,0.0602390148221543,0.1179482739195317,21964,0.4441388793399793,773,0.0156310031747315,0.9222357613466524
2025-07-16,RATES,20793,33653.243374656,1620.358404436,14425,22073.6078606,11579.635514056,0.693743086615688,0.6559132388773995,28,0.0013466070312124,888,0.0427066801327369,1.618489076836243
2025-07-17,COMMODITIES,12647,11.724866758,9.517056178,0,0.0,11.724866758,0.0,0.0,42,0.0033209456788171,8,0.0006325610816794,0.0009270867998734
2025-07-17,CREDITS,1116,43.812021939,26.842798939,904,29.918169,13.893852939,0.8100358422939068,0.6828757878751961,0,0.0,97,0.0869175627240143,0.0392580841747311
2025-07-17,EQUITIES,632762,1097.667504335,127.746370185,0,0.0,1097.667504335,0.0,0.0,0,0.0,0,0.0,0.0017347241211308
2025-07-17,FOREX,47289,45600.506281676,174.503239354,3011,4156.844694959,41443.661586717,0.0636723128000169,0.0911578627939351,20385,0.4310727653365476,803,0.0169806931844615,0.9642941547014316
2025-07-17,RATES,23690,34208.917421629,1458.276497987,14359,22157.64877672,12051.268644909,0.6061207260447447,0.647715579643294,29,0.0012241452089489,986,0.0416209371042634,1.4440235298281552
2025-07-18,COMMODITIES,6033,12.759996135,8.046160427,53,0.975,11.784996135,0.0087850157467263,0.0764106814519814,48,0.0079562406762804,0,0.0,0.0021150333391347
2025-07-18,CREDITS,1022,36.721717005,24.745567005,777,23.218284,13.503433005,0.7602739726027398,0.6322766442766992,0,0.0,73,0.0714285714285714,0.0359312299461839
2025-07-18,EQUITIES,630855,1276.745996405,120.22535466,0,0.0,1276.745996405,0.0,0.0,0,0.0,1,1.5851503118783238e-06,0.0020238343143907
2025-07-18,FOREX,45909,40772.298435469,120.338935286,2546,3003.541151959,37768.75728351,0.0554575355594763,0.073666221116103,21548,0.4693633056699122,840,0.018297065934784,0.8881112295076999
2025-07-18,RATES,26830,41570.464326347,1443.990197109,11461,20887.033781405,20683.430544942,0.4271710771524413,0.502448892979215,44,0.001639955273947,1365,0.0508758852031308,1.5494023230095788
2025-07-21,COMMODITIES,6329,20.054435846,16.907771056,0,0.0,20.054435846,0.0,0.0,145,0.0229104123874229,0,0.0,0.0031686578995101
2025-07-21,CREDITS,1022,48.306779883,30.589349883,778,26.7259833,21.580796583,0.761252446183953,0.5532553269899354,0,0.0,92,0.0900195694716242,0.0472669079090019
2025-07-21,EQUITIES,638147,887.541064445,117.04360291,0,0.0,887.541064445,0.0,0.0,0,0.0,0,0.0,0.0013908097420265
2025-07-21,FOREX,45502,40908.235410335,138.177269989,2442,3713.95964543,37194.275764905,0.0536679706386532,0.0907875787888839,18925,0.4159157839215858,478,0.0105050327458133,0.8990425785753373
2025-07-21,RATES,14904,18151.147771679,946.459781926,11103,14208.99675203,3942.151019649,0.7449677938808373,0.782815331061329,20,0.0013419216317767,965,0.0647477187332259,1.2178708918195786
2025-07-22,COMMODITIES,12883,41.019075344,32.606199814,0,0.0,41.019075344,0.0,0.0,284,0.0220445548397112,2,0.0001552433439416,0.003183969210898
2025-07-22,CREDITS,1146,263.585224181,34.311724181,814,26.787933,236.797291181,0.7102966841186736,0.101629114770125,1,0.0008726003490401,96,0.0837696335078534,0.230004558622164
2025-07-22,EQUITIES,669214,1630.38896205,131.861648845,0,0.0,1630.38896205,0.0,0.0,0,0.0,0,0.0,0.0024362744384456
2025-07-22,FOREX,88611,54813.346421101,1023.863963778,5193,3370.403537516,51442.942883585,0.0586044621999526,0.0614887387393397,39766,0.4487704686777036,547,0.0061730484928507,0.6185839954531718
