fund_type,quarter,count
Private Equity Fund,2023Q1,20983
Hedge Fund,2023Q1,9847
Other Private Fund,2023Q1,6910
Real Estate Fund,2023Q1,4275
Venture Capital Fund,2023Q1,2993
Securitized Asset Fund,2023Q1,2470
Liquidity Fund,2023Q1,71
Total,2023Q1,47549
Private Equity Fund,2023Q2,20996
Hedge Fund,2023Q2,9847
Other Private Fund,2023Q2,6868
Real Estate Fund,2023Q2,4277
Venture Capital Fund,2023Q2,3002
Securitized Asset Fund,2023Q2,2474
Liquidity Fund,2023Q2,70
Total,2023Q2,47534
Private Equity Fund,2023Q3,21004
Hedge Fund,2023Q3,9948
Other Private Fund,2023Q3,6840
Real Estate Fund,2023Q3,4266
Venture Capital Fund,2023Q3,2998
Securitized Asset Fund,2023Q3,2479
Liquidity Fund,2023Q3,69
Total,2023Q3,47604
Private Equity Fund,2023Q4,23111
Hedge Fund,2023Q4,9665
Other Private Fund,2023Q4,7146
Real Estate Fund,2023Q4,4255
Venture Capital Fund,2023Q4,3252
Securitized Asset Fund,2023Q4,2702
Liquidity Fund,2023Q4,73
Total,2023Q4,50204
Private Equity Fund,2024Q1,23165
Hedge Fund,2024Q1,9771
Other Private Fund,2024Q1,7146
Real Estate Fund,2024Q1,4271
Venture Capital Fund,2024Q1,3254
Securitized Asset Fund,2024Q1,2733
Liquidity Fund,2024Q1,74
Total,2024Q1,50414
Private Equity Fund,2024Q2,23137
Hedge Fund,2024Q2,9846
Other Private Fund,2024Q2,7172
Real Estate Fund,2024Q2,4270
Venture Capital Fund,2024Q2,3254
Securitized Asset Fund,2024Q2,2738
Liquidity Fund,2024Q2,76
Total,2024Q2,50493
Private Equity Fund,2024Q3,23222
Hedge Fund,2024Q3,9916
Other Private Fund,2024Q3,7186
Real Estate Fund,2024Q3,4253
Venture Capital Fund,2024Q3,3258
Securitized Asset Fund,2024Q3,2737
Liquidity Fund,2024Q3,77
Total,2024Q3,50649
Private Equity Fund,2024Q4,25008
Hedge Fund,2024Q4,9721
Other Private Fund,2024Q4,7654
Real Estate Fund,2024Q4,4647
Venture Capital Fund,2024Q4,3581
Securitized Asset Fund,2024Q4,3097
Liquidity Fund,2024Q4,74
Total,2024Q4,53782
Private Equity Fund,2025Q1,24986
Hedge Fund,2025Q1,9822
Other Private Fund,2025Q1,7711
Real Estate Fund,2025Q1,4724
Venture Capital Fund,2025Q1,3618
Securitized Asset Fund,2025Q1,3105
Liquidity Fund,2025Q1,73
Total,2025Q1,54039
