fund_type,quarter,derivative_value,derivative_pct_nav
Private Equity Fund,2024Q3,110.0,0.016
Private Equity Fund,2024Q4,131.0,0.018
Private Equity Fund,2025Q1,131.0,0.018
Qualifying Hedge Fund,2013Q1,,4.225
Qualifying Hedge Fund,2013Q2,,3.525
Qualifying Hedge Fund,2013Q3,,3.309
Qualifying Hedge Fund,2013Q4,,3.161
Qualifying Hedge Fund,2014Q1,,3.031
Qualifying Hedge Fund,2014Q2,,3.113
Qualifying Hedge Fund,2014Q3,,3.201
Qualifying Hedge Fund,2014Q4,,2.839
Qualifying Hedge Fund,2015Q1,,2.935
Qualifying Hedge Fund,2015Q2,,2.753
Qualifying Hedge Fund,2015Q3,,2.927
Qualifying Hedge Fund,2015Q4,,2.687
Qualifying Hedge Fund,2016Q1,,3.014
Qualifying Hedge Fund,2016Q2,,3.016
Qualifying Hedge Fund,2016Q3,,2.988
Qualifying Hedge Fund,2016Q4,,2.881
Qualifying Hedge Fund,2017Q1,,3.111
Qualifying Hedge Fund,2017Q2,,3.033
Qualifying Hedge Fund,2017Q3,,3.212
Qualifying Hedge Fund,2017Q4,,3.324
Qualifying Hedge Fund,2018Q1,,3.895
Qualifying Hedge Fund,2018Q2,,3.59
Qualifying Hedge Fund,2018Q3,,3.241
Qualifying Hedge Fund,2018Q4,,3.327
Qualifying Hedge Fund,2019Q1,,3.617
Qualifying Hedge Fund,2019Q2,,3.601
Qualifying Hedge Fund,2019Q3,,3.606
Qualifying Hedge Fund,2019Q4,,3.451
Qualifying Hedge Fund,2020Q1,,3.613
Qualifying Hedge Fund,2020Q2,,2.969
Qualifying Hedge Fund,2020Q3,,3.462
Qualifying Hedge Fund,2020Q4,,3.328
Qualifying Hedge Fund,2021Q1,,3.601
Qualifying Hedge Fund,2021Q2,,3.545
Qualifying Hedge Fund,2021Q3,,3.472
Qualifying Hedge Fund,2021Q4,,3.376
Qualifying Hedge Fund,2022Q1,,3.438
Qualifying Hedge Fund,2022Q2,,3.422
Qualifying Hedge Fund,2022Q3,,3.238
Qualifying Hedge Fund,2022Q4,,3.315
Qualifying Hedge Fund,2023Q1,,3.214
Qualifying Hedge Fund,2023Q2,,3.442
Qualifying Hedge Fund,2023Q3,,3.456
Qualifying Hedge Fund,2023Q4,,3.501
Qualifying Hedge Fund,2024Q1,,3.621
Qualifying Hedge Fund,2024Q2,,3.836
Qualifying Hedge Fund,2024Q3,,3.985
Qualifying Hedge Fund,2024Q4,,3.825
Qualifying Hedge Fund,2025Q1,,4.222
Real Estate Fund,2013Q1,12.0,0.05
Real Estate Fund,2013Q2,12.0,0.05
Real Estate Fund,2013Q3,12.0,0.049
Real Estate Fund,2013Q4,12.0,0.044
Real Estate Fund,2014Q1,12.0,0.044
Real Estate Fund,2014Q2,12.0,0.044
Real Estate Fund,2014Q3,12.0,0.044
Real Estate Fund,2014Q4,13.0,0.045
Real Estate Fund,2015Q1,13.0,0.045
Real Estate Fund,2015Q2,13.0,0.045
Real Estate Fund,2015Q3,13.0,0.045
Real Estate Fund,2015Q4,21.0,0.066
Real Estate Fund,2016Q1,21.0,0.066
Real Estate Fund,2016Q2,21.0,0.066
Real Estate Fund,2016Q3,21.0,0.066
Real Estate Fund,2016Q4,16.0,0.048
Real Estate Fund,2017Q1,16.0,0.047
Real Estate Fund,2017Q2,16.0,0.047
Real Estate Fund,2017Q3,16.0,0.047
Real Estate Fund,2017Q4,17.0,0.044
Real Estate Fund,2018Q1,17.0,0.044
