sector,quarter,amount,table
Natural Gas Distribution,2022Q4,0.006,Tab.10.1
Full-Service Restaurants,2022Q4,0.005,Tab.10.1
Offices of Other Holding Companies,2022Q4,0.004,Tab.10.1
Home Health Care Services,2022Q4,0.004,Tab.10.1
Hotels and Motels,2022Q4,0.005,Tab.10.1
Commercial Banking,2022Q4,0.005,Tab.10.1
Other Activities Related to Real...,2022Q4,0.006,Tab.10.1
Lessors of Residential Buildings...,2022Q4,0.002,Tab.10.1
Offices of Dentists,2022Q4,0.003,Tab.10.1
Real Estate Credit,2022Q4,0.001,Tab.10.1
Marketing Research and Public...,2022Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2022Q4,0.002,Tab.10.1
Software Publishers,2023Q4,0.128,Tab.10.1
Computing Infrastructure...,2023Q4,0.039,Tab.10.1
Custom Computer Programming...,2023Q4,0.023,Tab.10.1
Insurance Agencies and Brokerages,2023Q4,0.022,Tab.10.1
Other Financial Vehicles,2023Q4,0.025,Tab.10.1
Computer Systems Design Services,2023Q4,0.012,Tab.10.1
"All Other Professional,...",2023Q4,0.012,Tab.10.1
Other Computer Related Services,2023Q4,0.01,Tab.10.1
Offices of Physicians,2023Q4,0.007,Tab.10.1
Lessors of Nonresidential Buildings,2023Q4,0.006,Tab.10.1
Engineering Services,2023Q4,0.005,Tab.10.1
Consumer Lending,2023Q4,0.006,Tab.10.1
Natural Gas Distribution,2023Q4,0.004,Tab.10.1
Full-Service Restaurants,2023Q4,0.005,Tab.10.1
Offices of Other Holding Companies,2023Q4,0.004,Tab.10.1
Home Health Care Services,2023Q4,0.003,Tab.10.1
Hotels and Motels,2023Q4,0.004,Tab.10.1
Commercial Banking,2023Q4,0.004,Tab.10.1
Other Activities Related to Real...,2023Q4,0.005,Tab.10.1
Lessors of Residential Buildings...,2023Q4,0.002,Tab.10.1
Offices of Dentists,2023Q4,0.002,Tab.10.1
Real Estate Credit,2023Q4,0.003,Tab.10.1
Marketing Research and Public...,2023Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2023Q4,0.002,Tab.10.1
Software Publishers,2024Q4,0.134,Tab.10.1
Computing Infrastructure...,2024Q4,0.039,Tab.10.1
Custom Computer Programming...,2024Q4,0.025,Tab.10.1
Insurance Agencies and Brokerages,2024Q4,0.024,Tab.10.1
Other Financial Vehicles,2024Q4,0.017,Tab.10.1
Computer Systems Design Services,2024Q4,0.013,Tab.10.1
"All Other Professional,...",2024Q4,0.012,Tab.10.1
Other Computer Related Services,2024Q4,0.011,Tab.10.1
Offices of Physicians,2024Q4,0.008,Tab.10.1
Lessors of Nonresidential Buildings,2024Q4,0.007,Tab.10.1
Engineering Services,2024Q4,0.006,Tab.10.1
Consumer Lending,2024Q4,0.006,Tab.10.1
Natural Gas Distribution,2024Q4,0.005,Tab.10.1
Full-Service Restaurants,2024Q4,0.005,Tab.10.1
Offices of Other Holding Companies,2024Q4,0.004,Tab.10.1
Home Health Care Services,2024Q4,0.004,Tab.10.1
