date,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2020-03-06,,2611.825,4888.649,2276.824,,,,,,1233.576,54457.717,53224.141,257913.36,307823.366,49910.006,0.8378615416738702,0.5342631471394244,0.02265199622672394,,
2020-03-13,,2834.952,5178.391,2343.439,,,,,,1297.468,56982.993,55685.525,249316.012,298752.703,49436.691,0.834523033587415,0.5474580810912116,0.022769390158217908,,
2020-03-20,,3585.409,5608.965,2023.556,,,,,,1279.719,51823.446,50543.727,234449.758,282088.054,47638.295,0.8311226040078961,0.6392282711694581,0.024693822946470986,,
2020-03-27,,3103.139,5679.833,2576.694,,,,,,1288.111,53078.399,51790.288,238576.644,286962.91,48386.265,0.8313849479711508,0.5463433519964408,0.02426808314244746,,
2020-04-03,,2949.819,5473.319,2523.501,,,,,,1281.75,52271.352,50989.601,234855.63,282407.45,47551.82,0.8316198103130777,0.5389451994301812,0.024521079921560093,,
2020-04-10,,2945.488,5479.697,2534.209,,,,,,1213.625,50837.704,49624.079,234288.987,281959.543,47670.556,0.8309312198026935,0.5375275311755375,0.02387253759532492,,
2020-04-17,,2734.221,4959.188,2224.967,,,,,,1184.615,49866.024,48681.409,233503.348,280798.071,47294.723,0.8315703422335832,0.5513444943002765,0.023755954555350154,,
2020-04-24,,2678.628,4939.109,2260.481,,,,,,1133.425,49285.03,48151.605,230621.068,277951.313,47330.245,0.8297174980425438,0.5423302057111921,0.022997348282023974,,
2020-05-01,,2821.787,5120.569,2298.781,,,,,,1133.939,50262.029,49128.09,231498.783,279119.614,47620.831,0.8293891628841247,0.5510690315861381,0.022560549634794886,,
2020-05-08,,2640.398,4924.459,2284.062,,,,,,1093.61,48945.097,47851.487,230481.44,277865.66,47384.219,0.8294707593590371,0.5361803195031171,0.02234360675595351,,
2020-05-15,,2653.907,4982.619,2328.712,,,,,,1113.815,49789.122,48675.307,228555.495,275840.824,47285.33,0.8285774806125143,0.5326329386212352,0.022370649556744542,,
2020-05-22,,2714.439,4853.785,2139.345,,,,,,1123.729,48979.753,47856.024,231720.755,279188.562,47467.807,0.8299793993709528,0.5592417051847166,0.022942724925542196,,
2020-05-29,,2753.125,4949.677,2196.552,,,,,,1158.173,50017.838,48859.664,249140.147,296733.029,47592.882,0.8396104331210127,0.556223163652901,0.023155199151150833,,
2020-06-05,,2681.235,4919.042,2237.807,,,,,,1133.339,50765.27,49631.931,233979.132,282060.947,48081.815,0.8295339517526332,0.545072597469182,0.02232508563433229,,
2020-06-12,,2797.814,5115.789,2317.975,,,,,,1201.668,53447.826,52246.158,232175.535,279876.522,47700.987,0.8295641711597374,0.5468978489925992,0.022483009879578637,,
2020-06-19,,2639.504,4704.581,2065.076,,,,,,1133.123,48464.483,47331.36,224038.787,270905.774,46866.987,0.8269989365379862,0.5610497512955989,0.023380482569059904,,
2020-06-26,,2503.47,4539.472,2036.002,,,,,,1121.237,48859.537,47738.3,218875.426,265459.77,46584.344,0.8245144866960443,0.5514892480887645,0.022948170794168603,,
2020-07-03,,2433.927,4493.305,2059.378,,,,,,1006.528,47040.657,46034.129,218744.57,265381.613,46637.042,0.8242642266252259,0.5416785639968797,0.021396980063437467,,
2020-07-10,,2488.181,4583.94,2095.759,,,,,,1077.311,50073.736,48996.424,215146.808,262112.453,46965.645,0.8208187193608844,0.5428040070332509,0.021514492148139296,,
2020-07-17,,2473.604,4406.883,1933.279,,,,,,1075.444,50619.297,49543.854,215320.638,261662.108,46341.47,0.8228957553150952,0.5613046681747621,0.021245731642618428,,
2020-07-24,,2513.536,4047.035,1533.5,,,,,,1047.233,49847.04,48799.808,213162.309,258680.906,45518.597,0.8240357291774756,0.6210808653742802,0.02100893052024754,,
2020-07-31,,2522.501,4104.912,1582.412,,,,,,1123.441,53589.479,52466.038,213227.94,259055.704,45827.763,0.8230968734044938,0.6145079358583083,0.020963835084121644,,
2020-08-07,,2540.702,4143.568,1602.866,,,,,,1051.888,51028.595,49976.707,211952.475,258048.886,46096.411,0.8213655880692312,0.6131676854343889,0.020613697084938355,,
2020-08-14,,2501.135,4131.832,1630.697,,,,,,1086.118,52197.956,51111.838,212818.648,258585.507,45766.859,0.8230107343177588,0.6053331790837575,0.020807673005433392,,
2020-08-21,,2538.68,4034.855,1496.175,,,,,,1051.78,51491.311,50439.531,212976.394,258604.184,45627.79,0.8235612846851696,0.6291874181352242,0.020426358924906768,,
2020-08-28,,2485.172,4017.648,1532.476,,,,,,1131.808,54539.264,53407.456,213914.116,259725.972,45811.856,0.8236146518300449,0.6185638960904489,0.020752168566117796,,
2020-09-04,,2507.215,4079.305,1572.091,,,,,,1076.549,53176.844,52100.296,212764.6,258823.365,46058.765,0.8220455676403094,0.6146181763805355,0.020244695228622444,,
2020-09-11,,2630.266,4248.364,1618.098,,,,,,1163.707,55697.576,54533.869,213075.486,260726.807,47651.32,0.8172365874138903,0.6191244441389675,0.020893314998124874,,
2020-09-18,,2628.151,4089.094,1460.943,,,,,,1074.261,50295.29,49221.028,205165.415,253468.983,48303.568,0.8094300634803905,0.6427220797565426,0.02135907755974764,,
2020-09-25,,2881.15,4433.31,1552.16,,,,,,1152.94,51197.095,50044.155,202770.747,249584.072,46813.325,0.8124346452685491,0.649886879103875,0.02251963710050346,,
2020-10-02,,3095.102,4706.583,1611.481,,,,,,1126.559,52174.909,51048.35,204662.744,252004.037,47341.293,0.8121407356660719,0.6576112649027968,0.02159196866064491,,
2020-10-09,,2719.206,4383.973,1664.768,,,,,,1099.531,50970.927,49871.396,206658.624,252851.104,46192.48,0.8173135126987621,0.6202606631017117,0.021571728526734463,,
2020-10-16,,2666.094,4320.518,1654.423,,,,,,1107.201,49134.655,48027.455,208866.391,255127.151,46260.76,0.8186756689020527,0.6170773967380763,0.022534013925609126,,
2020-10-23,,2780.562,4291.805,1511.243,,,,,,1139.356,49778.059,48638.703,209261.588,255865.183,46603.596,0.8178587862030451,0.647877058720049,0.022888718903242088,,
2020-10-30,,2726.375,4301.681,1575.306,,,,,,1123.988,51941.482,50817.494,207988.023,254400.973,46412.95,0.8175598565812089,0.6337929288573467,0.02163950578075535,,
2020-11-06,,2784.469,4429.017,1644.548,,,,,,1147.545,50698.687,49551.141,211711.821,258963.075,47251.253,0.8175367125216596,0.628687810410301,0.022634609846996633,,
2020-11-13,,3034.697,4707.11,1672.412,,,,,,1161.39,51561.934,50400.544,211928.016,259464.483,47536.467,0.8167900806678038,0.6447049251026639,0.02252417451990843,,
2020-11-20,,2843.363,4392.259,1548.896,,,,,,1182.866,52168.902,50986.036,211104.238,258405.558,47301.32,0.8169492933275067,0.6473577719346696,0.022673776036152723,,
2020-11-27,,2209.136,3729.356,1520.22,,,,,,1229.369,56217.293,54987.924,210903.742,260741.277,49837.536,0.8088621196712172,0.5923639362935584,0.02186816430310865,,
2020-12-04,,2086.614,3768.471,1681.856,,,,,,1238.577,57084.614,55846.038,212438.456,262357.156,49918.7,0.8097299850285006,0.553703080108617,0.021697212492318856,,
2020-12-11,,2077.654,3876.702,1799.047,,,,,,1260.947,60887.852,59626.905,213127.308,263196.521,50069.213,0.8097649132679835,0.5359333784232061,0.02070933624001057,,
2020-12-18,,1996.661,3637.183,1640.523,,,,,,1177.792,54861.964,53684.173,211716.767,261539.138,49822.371,0.8095031918320384,0.5489580810203941,0.02146827991794096,,
2020-12-25,,1963.504,3544.125,1580.621,,,,,,1070.963,51126.586,50055.623,209463.243,258959.012,49495.769,0.8088663969725062,0.5540165767290939,0.020947281713666544,,
2021-01-01,,1849.894,3491.581,1641.686,,,,,,1083.435,51565.931,50482.496,196581.872,246085.434,49503.563,0.7988358709601642,0.5298155763821604,0.021010674664246828,,
2021-01-08,,1887.38,3602.074,1714.695,,,,,,1122.124,55101.139,53979.015,217864.349,267861.513,49997.163,0.8133469663482413,0.523970357077617,0.02036480588903979,,
2021-01-15,,1918.747,3739.525,1820.777,,,,,,1190.378,54927.785,53737.408,224877.76,275461.311,50583.551,0.8163678564646054,0.513099123551788,0.021671691294305784,,
2021-01-22,,1947.144,3782.259,1835.115,,,,,,1201.127,57799.093,56597.966,227653.334,278581.996,50928.662,0.8171860969795048,0.5148098001749748,0.02078107004205066,,
2021-01-29,,1973.828,3865.457,1891.629,,,,,,1310.854,60784.017,59473.163,219341.068,271199.738,51858.67,0.8087805306065597,0.5106325073594145,0.021565767856375796,,
2021-02-05,,1949.07,3908.742,1959.673,,,,,,1294.565,57358.121,56063.555,223029.219,273981.316,50952.097,0.8140307604041146,0.498643809184643,0.02256986416971365,,
2021-02-12,,1971.541,3998.408,2026.866,,,,,,1314.8,57471.509,56156.709,228163.734,280107.88,51944.146,0.814556641533969,0.49308149643558136,0.022877422619962874,,
2021-02-19,,2006.82,3958.355,1951.535,,,,,,1316.527,57082.4,55765.873,228403.314,280242.266,51838.951,0.8150209362066748,0.5069833301965084,0.023063623813995206,,
2021-02-26,,2072.085,4106.631,2034.546,,,,,,1439.706,61451.966,60012.26,236567.0,288813.498,52246.498,0.8190995283745359,0.5045705348252618,0.02342815199761062,,
2021-03-05,,2020.647,4109.172,2088.525,,,,,,1335.136,56387.956,55052.82,236277.653,287922.373,51644.72,0.8206297084110236,0.4917406718433787,0.023677680389762666,,
2021-03-12,,2015.565,4122.182,2106.617,,,,,,1461.092,59251.298,57790.206,238327.141,290900.458,52573.317,0.8192738596513314,0.48895584911098056,0.02465924037647243,,
2021-03-19,,2052.035,3916.434,1864.399,,,,,,1327.08,51745.027,50417.947,227178.179,278239.376,51061.197,0.8164846480966806,0.5239549549411531,0.02564652251510082,,
2021-03-26,,2269.99,4308.695,2038.705,,,,,,1366.183,52159.324,50793.141,224028.246,273851.99,49823.745,0.8180632391972029,0.5268393330231079,0.026192498200321768,,
2021-04-02,,2226.694,4302.289,2075.595,,,,,,1364.918,52997.403,51632.485,220175.612,270219.439,50043.827,0.8148030090462884,0.517560303364093,0.025754431778477898,,
2021-04-09,,2142.613,4275.357,2132.744,,,,,,1274.914,52301.389,51026.475,214868.701,265290.824,50422.123,0.8099364228293097,0.5011541726223097,0.024376293333242066,,
2021-04-16,,2141.009,4318.628,2177.618,,,,,,1258.355,52017.159,50758.804,213162.653,263426.839,50264.186,0.8091910976466601,0.4957613853288591,0.024191152000438934,,
2021-04-23,,2201.106,4148.86,1947.754,,,,,,1289.585,51970.66,50681.075,211171.076,262377.006,51205.93,0.8048383477628371,0.5305327246520732,0.0248137121983827,,
2021-04-30,,2157.991,4146.029,1988.038,,,,,,1299.287,54929.174,53629.887,225590.452,276283.801,50693.349,0.8165171145882708,0.5204958768981114,0.023653860150891767,,
