exposure,ratio_bucket,month,fund_count,exposure_type
Excluding IRDs,10 or more,2014-10,56,GNE_excl_IRD
Including IRDs,"(0,1.5)",2014-11,774,GNE_excl_IRD
Including IRDs,"[1.5,3)",2014-11,448,GNE_excl_IRD
Including IRDs,"[3,5)",2014-11,150,GNE_excl_IRD
Including IRDs,"[5,10)",2014-11,76,GNE_excl_IRD
Including IRDs,10 or more,2014-11,91,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2014-11,873,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2014-11,430,GNE_excl_IRD
Excluding IRDs,"[3,5)",2014-11,126,GNE_excl_IRD
Excluding IRDs,"[5,10)",2014-11,55,GNE_excl_IRD
Excluding IRDs,10 or more,2014-11,55,GNE_excl_IRD
Including IRDs,"(0,1.5)",2014-12,775,GNE_excl_IRD
Including IRDs,"[1.5,3)",2014-12,469,GNE_excl_IRD
Including IRDs,"[3,5)",2014-12,140,GNE_excl_IRD
Including IRDs,"[5,10)",2014-12,68,GNE_excl_IRD
Including IRDs,10 or more,2014-12,84,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2014-12,864,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2014-12,453,GNE_excl_IRD
Excluding IRDs,"[3,5)",2014-12,117,GNE_excl_IRD
Excluding IRDs,"[5,10)",2014-12,49,GNE_excl_IRD
Excluding IRDs,10 or more,2014-12,53,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-01,860,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-01,432,GNE_excl_IRD
Including IRDs,"[3,5)",2015-01,111,GNE_excl_IRD
Including IRDs,"[5,10)",2015-01,76,GNE_excl_IRD
Including IRDs,10 or more,2015-01,81,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-01,961,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-01,393,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-01,98,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-01,60,GNE_excl_IRD
Excluding IRDs,10 or more,2015-01,48,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-02,833,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-02,444,GNE_excl_IRD
Including IRDs,"[3,5)",2015-02,129,GNE_excl_IRD
Including IRDs,"[5,10)",2015-02,71,GNE_excl_IRD
Including IRDs,10 or more,2015-02,84,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-02,929,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-02,422,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-02,104,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-02,59,GNE_excl_IRD
Excluding IRDs,10 or more,2015-02,47,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-03,816,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-03,454,GNE_excl_IRD
Including IRDs,"[3,5)",2015-03,143,GNE_excl_IRD
Including IRDs,"[5,10)",2015-03,67,GNE_excl_IRD
Including IRDs,10 or more,2015-03,81,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-03,916,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-03,430,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-03,112,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-03,61,GNE_excl_IRD
Excluding IRDs,10 or more,2015-03,42,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-04,826,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-04,465,GNE_excl_IRD
Including IRDs,"[3,5)",2015-04,144,GNE_excl_IRD
Including IRDs,"[5,10)",2015-04,64,GNE_excl_IRD
Including IRDs,10 or more,2015-04,90,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-04,921,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-04,445,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-04,114,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-04,54,GNE_excl_IRD
Excluding IRDs,10 or more,2015-04,55,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-05,815,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-05,480,GNE_excl_IRD
Including IRDs,"[3,5)",2015-05,144,GNE_excl_IRD
Including IRDs,"[5,10)",2015-05,66,GNE_excl_IRD
Including IRDs,10 or more,2015-05,84,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-05,918,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-05,452,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-05,117,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-05,52,GNE_excl_IRD
Excluding IRDs,10 or more,2015-05,50,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-06,818,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-06,483,GNE_excl_IRD
Including IRDs,"[3,5)",2015-06,143,GNE_excl_IRD
Including IRDs,"[5,10)",2015-06,63,GNE_excl_IRD
Including IRDs,10 or more,2015-06,81,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-06,919,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-06,464,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-06,106,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-06,46,GNE_excl_IRD
Excluding IRDs,10 or more,2015-06,53,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-07,801,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-07,511,GNE_excl_IRD
Including IRDs,"[3,5)",2015-07,152,GNE_excl_IRD
Including IRDs,"[5,10)",2015-07,69,GNE_excl_IRD
Including IRDs,10 or more,2015-07,89,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-07,913,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-07,482,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-07,122,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-07,48,GNE_excl_IRD
Excluding IRDs,10 or more,2015-07,57,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-08,829,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-08,484,GNE_excl_IRD
Including IRDs,"[3,5)",2015-08,160,GNE_excl_IRD
Including IRDs,"[5,10)",2015-08,62,GNE_excl_IRD
Including IRDs,10 or more,2015-08,87,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-08,951,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-08,457,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-08,115,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-08,44,GNE_excl_IRD
Excluding IRDs,10 or more,2015-08,55,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-09,854,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-09,484,GNE_excl_IRD
Including IRDs,"[3,5)",2015-09,136,GNE_excl_IRD
Including IRDs,"[5,10)",2015-09,64,GNE_excl_IRD
Including IRDs,10 or more,2015-09,83,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-09,978,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-09,436,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-09,105,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-09,47,GNE_excl_IRD
Excluding IRDs,10 or more,2015-09,55,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-10,805,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-10,513,GNE_excl_IRD
Including IRDs,"[3,5)",2015-10,145,GNE_excl_IRD
Including IRDs,"[5,10)",2015-10,69,GNE_excl_IRD
Including IRDs,10 or more,2015-10,109,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-10,935,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-10,456,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-10,116,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-10,53,GNE_excl_IRD
Excluding IRDs,10 or more,2015-10,81,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-11,798,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-11,518,GNE_excl_IRD
Including IRDs,"[3,5)",2015-11,151,GNE_excl_IRD
Including IRDs,"[5,10)",2015-11,61,GNE_excl_IRD
Including IRDs,10 or more,2015-11,113,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-11,940,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-11,450,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-11,120,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-11,47,GNE_excl_IRD
Excluding IRDs,10 or more,2015-11,84,GNE_excl_IRD
Including IRDs,"(0,1.5)",2015-12,834,GNE_excl_IRD
Including IRDs,"[1.5,3)",2015-12,507,GNE_excl_IRD
Including IRDs,"[3,5)",2015-12,137,GNE_excl_IRD
Including IRDs,"[5,10)",2015-12,60,GNE_excl_IRD
Including IRDs,10 or more,2015-12,100,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2015-12,958,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2015-12,458,GNE_excl_IRD
Excluding IRDs,"[3,5)",2015-12,108,GNE_excl_IRD
Excluding IRDs,"[5,10)",2015-12,42,GNE_excl_IRD
Excluding IRDs,10 or more,2015-12,72,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-01,837,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-01,470,GNE_excl_IRD
Including IRDs,"[3,5)",2016-01,133,GNE_excl_IRD
Including IRDs,"[5,10)",2016-01,68,GNE_excl_IRD
Including IRDs,10 or more,2016-01,88,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-01,952,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-01,444,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-01,93,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-01,48,GNE_excl_IRD
Excluding IRDs,10 or more,2016-01,59,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-02,856,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-02,450,GNE_excl_IRD
Including IRDs,"[3,5)",2016-02,131,GNE_excl_IRD
Including IRDs,"[5,10)",2016-02,70,GNE_excl_IRD
Including IRDs,10 or more,2016-02,89,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-02,972,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-02,426,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-02,92,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-02,53,GNE_excl_IRD
Excluding IRDs,10 or more,2016-02,53,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-03,829,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-03,475,GNE_excl_IRD
Including IRDs,"[3,5)",2016-03,144,GNE_excl_IRD
Including IRDs,"[5,10)",2016-03,64,GNE_excl_IRD
Including IRDs,10 or more,2016-03,84,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-03,950,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-03,442,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-03,104,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-03,48,GNE_excl_IRD
Excluding IRDs,10 or more,2016-03,52,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-04,843,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-04,465,GNE_excl_IRD
Including IRDs,"[3,5)",2016-04,128,GNE_excl_IRD
Including IRDs,"[5,10)",2016-04,77,GNE_excl_IRD
Including IRDs,10 or more,2016-04,91,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-04,954,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-04,435,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-04,98,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-04,58,GNE_excl_IRD
Excluding IRDs,10 or more,2016-04,59,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-05,821,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-05,484,GNE_excl_IRD
Including IRDs,"[3,5)",2016-05,139,GNE_excl_IRD
Including IRDs,"[5,10)",2016-05,72,GNE_excl_IRD
Including IRDs,10 or more,2016-05,88,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-05,940,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-05,444,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-05,109,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-05,54,GNE_excl_IRD
Excluding IRDs,10 or more,2016-05,57,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-06,832,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-06,483,GNE_excl_IRD
Including IRDs,"[3,5)",2016-06,129,GNE_excl_IRD
Including IRDs,"[5,10)",2016-06,72,GNE_excl_IRD
Including IRDs,10 or more,2016-06,88,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-06,941,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-06,446,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-06,110,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-06,50,GNE_excl_IRD
Excluding IRDs,10 or more,2016-06,57,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-07,868,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-07,442,GNE_excl_IRD
Including IRDs,"[3,5)",2016-07,151,GNE_excl_IRD
Including IRDs,"[5,10)",2016-07,73,GNE_excl_IRD
Including IRDs,10 or more,2016-07,82,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-07,973,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-07,414,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-07,117,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-07,59,GNE_excl_IRD
Excluding IRDs,10 or more,2016-07,53,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-08,862,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-08,445,GNE_excl_IRD
Including IRDs,"[3,5)",2016-08,147,GNE_excl_IRD
Including IRDs,"[5,10)",2016-08,80,GNE_excl_IRD
Including IRDs,10 or more,2016-08,82,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-08,989,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-08,393,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-08,125,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-08,54,GNE_excl_IRD
Excluding IRDs,10 or more,2016-08,55,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-09,841,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-09,470,GNE_excl_IRD
Including IRDs,"[3,5)",2016-09,147,GNE_excl_IRD
Including IRDs,"[5,10)",2016-09,75,GNE_excl_IRD
Including IRDs,10 or more,2016-09,83,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-09,957,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-09,424,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-09,128,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-09,53,GNE_excl_IRD
Excluding IRDs,10 or more,2016-09,54,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-10,862,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-10,464,GNE_excl_IRD
Including IRDs,"[3,5)",2016-10,144,GNE_excl_IRD
Including IRDs,"[5,10)",2016-10,79,GNE_excl_IRD
Including IRDs,10 or more,2016-10,99,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-10,966,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-10,436,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-10,114,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-10,60,GNE_excl_IRD
Excluding IRDs,10 or more,2016-10,72,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-11,855,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-11,458,GNE_excl_IRD
Including IRDs,"[3,5)",2016-11,156,GNE_excl_IRD
Including IRDs,"[5,10)",2016-11,80,GNE_excl_IRD
Including IRDs,10 or more,2016-11,99,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-11,969,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-11,427,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-11,125,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-11,55,GNE_excl_IRD
Excluding IRDs,10 or more,2016-11,72,GNE_excl_IRD
Including IRDs,"(0,1.5)",2016-12,848,GNE_excl_IRD
Including IRDs,"[1.5,3)",2016-12,478,GNE_excl_IRD
Including IRDs,"[3,5)",2016-12,152,GNE_excl_IRD
Including IRDs,"[5,10)",2016-12,78,GNE_excl_IRD
Including IRDs,10 or more,2016-12,92,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2016-12,957,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2016-12,448,GNE_excl_IRD
Excluding IRDs,"[3,5)",2016-12,115,GNE_excl_IRD
Excluding IRDs,"[5,10)",2016-12,60,GNE_excl_IRD
Excluding IRDs,10 or more,2016-12,68,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-01,917,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-01,443,GNE_excl_IRD
Including IRDs,"[3,5)",2017-01,143,GNE_excl_IRD
Including IRDs,"[5,10)",2017-01,86,GNE_excl_IRD
Including IRDs,10 or more,2017-01,81,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-01,1010,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-01,427,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-01,118,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-01,59,GNE_excl_IRD
Excluding IRDs,10 or more,2017-01,56,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-02,889,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-02,453,GNE_excl_IRD
Including IRDs,"[3,5)",2017-02,151,GNE_excl_IRD
Including IRDs,"[5,10)",2017-02,99,GNE_excl_IRD
Including IRDs,10 or more,2017-02,78,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-02,987,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-02,443,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-02,117,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-02,71,GNE_excl_IRD
Excluding IRDs,10 or more,2017-02,52,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-03,863,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-03,480,GNE_excl_IRD
Including IRDs,"[3,5)",2017-03,152,GNE_excl_IRD
Including IRDs,"[5,10)",2017-03,99,GNE_excl_IRD
Including IRDs,10 or more,2017-03,76,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-03,969,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-03,456,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-03,124,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-03,67,GNE_excl_IRD
Excluding IRDs,10 or more,2017-03,54,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-04,920,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-04,459,GNE_excl_IRD
Including IRDs,"[3,5)",2017-04,140,GNE_excl_IRD
Including IRDs,"[5,10)",2017-04,97,GNE_excl_IRD
Including IRDs,10 or more,2017-04,100,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-04,1036,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-04,418,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-04,122,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-04,75,GNE_excl_IRD
Excluding IRDs,10 or more,2017-04,65,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-05,905,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-05,464,GNE_excl_IRD
Including IRDs,"[3,5)",2017-05,153,GNE_excl_IRD
Including IRDs,"[5,10)",2017-05,95,GNE_excl_IRD
Including IRDs,10 or more,2017-05,99,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-05,1024,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-05,429,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-05,126,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-05,70,GNE_excl_IRD
Excluding IRDs,10 or more,2017-05,67,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-06,907,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-06,479,GNE_excl_IRD
Including IRDs,"[3,5)",2017-06,145,GNE_excl_IRD
Including IRDs,"[5,10)",2017-06,91,GNE_excl_IRD
Including IRDs,10 or more,2017-06,93,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-06,1015,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-06,445,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-06,124,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-06,68,GNE_excl_IRD
Excluding IRDs,10 or more,2017-06,63,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-07,938,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-07,456,GNE_excl_IRD
Including IRDs,"[3,5)",2017-07,143,GNE_excl_IRD
Including IRDs,"[5,10)",2017-07,87,GNE_excl_IRD
Including IRDs,10 or more,2017-07,101,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-07,1051,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-07,423,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-07,116,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-07,66,GNE_excl_IRD
Excluding IRDs,10 or more,2017-07,69,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-08,931,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-08,456,GNE_excl_IRD
Including IRDs,"[3,5)",2017-08,144,GNE_excl_IRD
Including IRDs,"[5,10)",2017-08,89,GNE_excl_IRD
Including IRDs,10 or more,2017-08,106,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-08,1051,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-08,414,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-08,114,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-08,77,GNE_excl_IRD
Excluding IRDs,10 or more,2017-08,70,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-09,919,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-09,469,GNE_excl_IRD
Including IRDs,"[3,5)",2017-09,150,GNE_excl_IRD
Including IRDs,"[5,10)",2017-09,88,GNE_excl_IRD
Including IRDs,10 or more,2017-09,100,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-09,1040,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-09,434,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-09,111,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-09,71,GNE_excl_IRD
Excluding IRDs,10 or more,2017-09,70,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-10,963,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-10,469,GNE_excl_IRD
Including IRDs,"[3,5)",2017-10,138,GNE_excl_IRD
Including IRDs,"[5,10)",2017-10,98,GNE_excl_IRD
Including IRDs,10 or more,2017-10,132,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-10,1064,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-10,441,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-10,118,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-10,78,GNE_excl_IRD
Excluding IRDs,10 or more,2017-10,99,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-11,956,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-11,465,GNE_excl_IRD
Including IRDs,"[3,5)",2017-11,145,GNE_excl_IRD
Including IRDs,"[5,10)",2017-11,97,GNE_excl_IRD
Including IRDs,10 or more,2017-11,137,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-11,1076,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-11,427,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-11,122,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-11,78,GNE_excl_IRD
Excluding IRDs,10 or more,2017-11,97,GNE_excl_IRD
Including IRDs,"(0,1.5)",2017-12,954,GNE_excl_IRD
Including IRDs,"[1.5,3)",2017-12,483,GNE_excl_IRD
Including IRDs,"[3,5)",2017-12,148,GNE_excl_IRD
Including IRDs,"[5,10)",2017-12,88,GNE_excl_IRD
Including IRDs,10 or more,2017-12,127,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2017-12,1070,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2017-12,450,GNE_excl_IRD
Excluding IRDs,"[3,5)",2017-12,122,GNE_excl_IRD
Excluding IRDs,"[5,10)",2017-12,68,GNE_excl_IRD
Excluding IRDs,10 or more,2017-12,90,GNE_excl_IRD
Including IRDs,"(0,1.5)",2018-01,915,GNE_excl_IRD
Including IRDs,"[1.5,3)",2018-01,477,GNE_excl_IRD
Including IRDs,"[3,5)",2018-01,137,GNE_excl_IRD
Including IRDs,"[5,10)",2018-01,110,GNE_excl_IRD
Including IRDs,10 or more,2018-01,131,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2018-01,1025,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2018-01,451,GNE_excl_IRD
Excluding IRDs,"[3,5)",2018-01,120,GNE_excl_IRD
Excluding IRDs,"[5,10)",2018-01,82,GNE_excl_IRD
Excluding IRDs,10 or more,2018-01,92,GNE_excl_IRD
Including IRDs,"(0,1.5)",2018-02,927,GNE_excl_IRD
Including IRDs,"[1.5,3)",2018-02,475,GNE_excl_IRD
Including IRDs,"[3,5)",2018-02,145,GNE_excl_IRD
Including IRDs,"[5,10)",2018-02,98,GNE_excl_IRD
Including IRDs,10 or more,2018-02,126,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2018-02,1045,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2018-02,448,GNE_excl_IRD
Excluding IRDs,"[3,5)",2018-02,121,GNE_excl_IRD
Excluding IRDs,"[5,10)",2018-02,75,GNE_excl_IRD
Excluding IRDs,10 or more,2018-02,82,GNE_excl_IRD
Including IRDs,"(0,1.5)",2018-03,924,GNE_excl_IRD
Including IRDs,"[1.5,3)",2018-03,476,GNE_excl_IRD
Including IRDs,"[3,5)",2018-03,149,GNE_excl_IRD
Including IRDs,"[5,10)",2018-03,100,GNE_excl_IRD
Including IRDs,10 or more,2018-03,122,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2018-03,1046,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2018-03,442,GNE_excl_IRD
Excluding IRDs,"[3,5)",2018-03,127,GNE_excl_IRD
Excluding IRDs,"[5,10)",2018-03,74,GNE_excl_IRD
Excluding IRDs,10 or more,2018-03,82,GNE_excl_IRD
Including IRDs,"(0,1.5)",2018-04,974,GNE_excl_IRD
Including IRDs,"[1.5,3)",2018-04,462,GNE_excl_IRD
Including IRDs,"[3,5)",2018-04,150,GNE_excl_IRD
Including IRDs,"[5,10)",2018-04,99,GNE_excl_IRD
Including IRDs,10 or more,2018-04,120,GNE_excl_IRD
Excluding IRDs,"(0,1.5)",2018-04,1103,GNE_excl_IRD
Excluding IRDs,"[1.5,3)",2018-04,414,GNE_excl_IRD
