exposure,ratio_bucket,month,fund_count,exposure_type
Including IRDs,"[1.5,3)",2014-06,965,GNE
Including IRDs,"[3,5)",2014-06,411,GNE
Including IRDs,"[5,10)",2014-06,272,GNE
Including IRDs,10 or more,2014-06,343,GNE
Excluding IRDs,"(0,1.5)",2014-06,1106,GNE
Excluding IRDs,"[1.5,3)",2014-06,930,GNE
Excluding IRDs,"[3,5)",2014-06,368,GNE
Excluding IRDs,"[5,10)",2014-06,229,GNE
Excluding IRDs,10 or more,2014-06,186,GNE
Including IRDs,"(0,1.5)",2014-07,808,GNE
Including IRDs,"[1.5,3)",2014-07,1016,GNE
Including IRDs,"[3,5)",2014-07,382,GNE
Including IRDs,"[5,10)",2014-07,302,GNE
Including IRDs,10 or more,2014-07,352,GNE
Excluding IRDs,"(0,1.5)",2014-07,1140,GNE
Excluding IRDs,"[1.5,3)",2014-07,949,GNE
Excluding IRDs,"[3,5)",2014-07,344,GNE
Excluding IRDs,"[5,10)",2014-07,245,GNE
Excluding IRDs,10 or more,2014-07,182,GNE
Including IRDs,"(0,1.5)",2014-08,754,GNE
Including IRDs,"[1.5,3)",2014-08,996,GNE
Including IRDs,"[3,5)",2014-08,398,GNE
Including IRDs,"[5,10)",2014-08,355,GNE
Including IRDs,10 or more,2014-08,357,GNE
Excluding IRDs,"(0,1.5)",2014-08,1084,GNE
Excluding IRDs,"[1.5,3)",2014-08,1008,GNE
Excluding IRDs,"[3,5)",2014-08,346,GNE
Excluding IRDs,"[5,10)",2014-08,225,GNE
Excluding IRDs,10 or more,2014-08,197,GNE
Including IRDs,"(0,1.5)",2014-09,810,GNE
Including IRDs,"[1.5,3)",2014-09,962,GNE
Including IRDs,"[3,5)",2014-09,425,GNE
Including IRDs,"[5,10)",2014-09,305,GNE
Including IRDs,10 or more,2014-09,358,GNE
Excluding IRDs,"(0,1.5)",2014-09,1080,GNE
Excluding IRDs,"[1.5,3)",2014-09,1021,GNE
Excluding IRDs,"[3,5)",2014-09,331,GNE
Excluding IRDs,"[5,10)",2014-09,251,GNE
Excluding IRDs,10 or more,2014-09,177,GNE
Including IRDs,"(0,1.5)",2014-10,773,GNE
Including IRDs,"[1.5,3)",2014-10,990,GNE
Including IRDs,"[3,5)",2014-10,451,GNE
Including IRDs,"[5,10)",2014-10,321,GNE
Including IRDs,10 or more,2014-10,341,GNE
Excluding IRDs,"(0,1.5)",2014-10,1135,GNE
Excluding IRDs,"[1.5,3)",2014-10,980,GNE
Excluding IRDs,"[3,5)",2014-10,363,GNE
Excluding IRDs,"[5,10)",2014-10,205,GNE
Excluding IRDs,10 or more,2014-10,192,GNE
Including IRDs,"(0,1.5)",2014-11,778,GNE
Including IRDs,"[1.5,3)",2014-11,1005,GNE
Including IRDs,"[3,5)",2014-11,361,GNE
Including IRDs,"[5,10)",2014-11,385,GNE
Including IRDs,10 or more,2014-11,346,GNE
Excluding IRDs,"(0,1.5)",2014-11,1133,GNE
Excluding IRDs,"[1.5,3)",2014-11,985,GNE
Excluding IRDs,"[3,5)",2014-11,353,GNE
Excluding IRDs,"[5,10)",2014-11,207,GNE
Excluding IRDs,10 or more,2014-11,198,GNE
Including IRDs,"(0,1.5)",2014-12,763,GNE
Including IRDs,"[1.5,3)",2014-12,1043,GNE
Including IRDs,"[3,5)",2014-12,451,GNE
Including IRDs,"[5,10)",2014-12,293,GNE
Including IRDs,10 or more,2014-12,322,GNE
Excluding IRDs,"(0,1.5)",2014-12,1106,GNE
Excluding IRDs,"[1.5,3)",2014-12,1021,GNE
Excluding IRDs,"[3,5)",2014-12,362,GNE
Excluding IRDs,"[5,10)",2014-12,205,GNE
Excluding IRDs,10 or more,2014-12,179,GNE
Including IRDs,"(0,1.5)",2015-01,914,GNE
Including IRDs,"[1.5,3)",2015-01,1053,GNE
Including IRDs,"[3,5)",2015-01,481,GNE
Including IRDs,"[5,10)",2015-01,288,GNE
Including IRDs,10 or more,2015-01,343,GNE
Excluding IRDs,"(0,1.5)",2015-01,1323,GNE
Excluding IRDs,"[1.5,3)",2015-01,1019,GNE
Excluding IRDs,"[3,5)",2015-01,337,GNE
Excluding IRDs,"[5,10)",2015-01,236,GNE
Excluding IRDs,10 or more,2015-01,165,GNE
Including IRDs,"(0,1.5)",2015-02,863,GNE
Including IRDs,"[1.5,3)",2015-02,1066,GNE
Including IRDs,"[3,5)",2015-02,464,GNE
Including IRDs,"[5,10)",2015-02,343,GNE
Including IRDs,10 or more,2015-02,344,GNE
Excluding IRDs,"(0,1.5)",2015-02,1276,GNE
Excluding IRDs,"[1.5,3)",2015-02,1018,GNE
Excluding IRDs,"[3,5)",2015-02,373,GNE
Excluding IRDs,"[5,10)",2015-02,234,GNE
Excluding IRDs,10 or more,2015-02,178,GNE
Including IRDs,"(0,1.5)",2015-03,888,GNE
Including IRDs,"[1.5,3)",2015-03,1064,GNE
