period,quarter,cumulative_pct,liquidity_type
At most 7 days,2020Q3,0.132,investor_liquidity
At most 30 days,2020Q3,0.246,investor_liquidity
At most 90 days,2020Q3,0.428,investor_liquidity
At most 180 days,2020Q3,0.547,investor_liquidity
At most 365 days,2020Q3,0.662,investor_liquidity
At most 1 day,2020Q4,0.068,investor_liquidity
At most 7 days,2020Q4,0.101,investor_liquidity
At most 30 days,2020Q4,0.226,investor_liquidity
At most 90 days,2020Q4,0.438,investor_liquidity
At most 180 days,2020Q4,0.518,investor_liquidity
At most 365 days,2020Q4,0.648,investor_liquidity
At most 1 day,2021Q1,0.062,investor_liquidity
At most 7 days,2021Q1,0.095,investor_liquidity
At most 30 days,2021Q1,0.224,investor_liquidity
At most 90 days,2021Q1,0.399,investor_liquidity
At most 180 days,2021Q1,0.512,investor_liquidity
At most 365 days,2021Q1,0.638,investor_liquidity
At most 1 day,2021Q2,0.078,investor_liquidity
At most 7 days,2021Q2,0.117,investor_liquidity
At most 30 days,2021Q2,0.235,investor_liquidity
At most 90 days,2021Q2,0.404,investor_liquidity
At most 180 days,2021Q2,0.514,investor_liquidity
At most 365 days,2021Q2,0.646,investor_liquidity
At most 1 day,2021Q3,0.075,investor_liquidity
At most 7 days,2021Q3,0.111,investor_liquidity
At most 30 days,2021Q3,0.231,investor_liquidity
At most 90 days,2021Q3,0.403,investor_liquidity
At most 180 days,2021Q3,0.523,investor_liquidity
At most 365 days,2021Q3,0.634,investor_liquidity
At most 1 day,2021Q4,0.075,investor_liquidity
At most 7 days,2021Q4,0.11,investor_liquidity
At most 30 days,2021Q4,0.231,investor_liquidity
At most 90 days,2021Q4,0.43,investor_liquidity
At most 180 days,2021Q4,0.504,investor_liquidity
At most 365 days,2021Q4,0.628,investor_liquidity
At most 1 day,2022Q1,0.075,investor_liquidity
At most 7 days,2022Q1,0.109,investor_liquidity
At most 30 days,2022Q1,0.234,investor_liquidity
At most 90 days,2022Q1,0.398,investor_liquidity
At most 180 days,2022Q1,0.502,investor_liquidity
At most 365 days,2022Q1,0.622,investor_liquidity
