fund_universe,country,quarter,share,table
Qualifying Hedge Funds,Other,2021Q3,0.044,Tab.3.1
Section 3 Liquidity Funds,United States,2021Q3,0.266,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2021Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2021Q3,0.552,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2021Q3,0.289,Tab.3.1
Section 4 Private Equity Funds,Canada,2021Q3,0.023,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2021Q3,0.015,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2021Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2021Q3,0.111,Tab.3.1
All Private Funds,United States,2021Q4,0.517,Tab.3.1
All Private Funds,Cayman Islands,2021Q4,0.328,Tab.3.1
All Private Funds,Luxembourg,2021Q4,0.041,Tab.3.1
All Private Funds,Ireland,2021Q4,0.039,Tab.3.1
All Private Funds,Bermuda,2021Q4,0.009,Tab.3.1
All Private Funds,United Kingdom,2021Q4,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2021Q4,0.009,Tab.3.1
All Private Funds,Other,2021Q4,0.047,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2021Q4,0.519,Tab.3.1
Qualifying Hedge Funds,United States,2021Q4,0.341,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2021Q4,0.024,Tab.3.1
Qualifying Hedge Funds,Ireland,2021Q4,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2021Q4,0.026,Tab.3.1
Qualifying Hedge Funds,Bermuda,2021Q4,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2021Q4,0.042,Tab.3.1
Section 3 Liquidity Funds,United States,2021Q4,0.276,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2021Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2021Q4,0.561,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2021Q4,0.292,Tab.3.1
Section 4 Private Equity Funds,Canada,2021Q4,0.021,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2021Q4,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2021Q4,0.012,Tab.3.1
Section 4 Private Equity Funds,Other,2021Q4,0.099,Tab.3.1
All Private Funds,United States,2022Q1,0.522,Tab.3.1
All Private Funds,Cayman Islands,2022Q1,0.328,Tab.3.1
All Private Funds,Luxembourg,2022Q1,0.041,Tab.3.1
All Private Funds,Ireland,2022Q1,0.039,Tab.3.1
All Private Funds,Bermuda,2022Q1,0.01,Tab.3.1
All Private Funds,United Kingdom,2022Q1,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2022Q1,0.009,Tab.3.1
All Private Funds,Other,2022Q1,0.043,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2022Q1,0.512,Tab.3.1
Qualifying Hedge Funds,United States,2022Q1,0.347,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2022Q1,0.024,Tab.3.1
Qualifying Hedge Funds,Ireland,2022Q1,0.031,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2022Q1,0.028,Tab.3.1
Qualifying Hedge Funds,Bermuda,2022Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2022Q1,0.041,Tab.3.1
Section 3 Liquidity Funds,United States,2022Q1,0.285,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2022Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2022Q1,0.569,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2022Q1,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2022Q1,0.02,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2022Q1,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2022Q1,0.012,Tab.3.1
Section 4 Private Equity Funds,Other,2022Q1,0.09,Tab.3.1
All Private Funds,United States,2022Q2,0.525,Tab.3.1
All Private Funds,Cayman Islands,2022Q2,0.324,Tab.3.1
All Private Funds,Luxembourg,2022Q2,0.041,Tab.3.1
All Private Funds,Ireland,2022Q2,0.039,Tab.3.1
All Private Funds,Bermuda,2022Q2,0.01,Tab.3.1
All Private Funds,United Kingdom,2022Q2,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2022Q2,0.009,Tab.3.1
All Private Funds,Other,2022Q2,0.042,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2022Q2,0.525,Tab.3.1
Qualifying Hedge Funds,United States,2022Q2,0.355,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2022Q2,0.024,Tab.3.1
Qualifying Hedge Funds,Ireland,2022Q2,0.03,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2022Q2,0.031,Tab.3.1
Qualifying Hedge Funds,Bermuda,2022Q2,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2022Q2,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2022Q2,0.273,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2022Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2022Q2,0.57,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2022Q2,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2022Q2,0.02,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2022Q2,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2022Q2,0.012,Tab.3.1
Section 4 Private Equity Funds,Other,2022Q2,0.09,Tab.3.1
All Private Funds,United States,2022Q3,0.528,Tab.3.1
All Private Funds,Cayman Islands,2022Q3,0.327,Tab.3.1
All Private Funds,Luxembourg,2022Q3,0.041,Tab.3.1
All Private Funds,Ireland,2022Q3,0.039,Tab.3.1
All Private Funds,Bermuda,2022Q3,0.01,Tab.3.1
All Private Funds,United Kingdom,2022Q3,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2022Q3,0.009,Tab.3.1
All Private Funds,Other,2022Q3,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2022Q3,0.533,Tab.3.1
Qualifying Hedge Funds,United States,2022Q3,0.348,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2022Q3,0.023,Tab.3.1
Qualifying Hedge Funds,Ireland,2022Q3,0.028,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2022Q3,0.031,Tab.3.1
Qualifying Hedge Funds,Bermuda,2022Q3,0.019,Tab.3.1
Qualifying Hedge Funds,Other,2022Q3,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2022Q3,0.255,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2022Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2022Q3,0.57,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2022Q3,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2022Q3,0.02,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2022Q3,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2022Q3,0.012,Tab.3.1
Section 4 Private Equity Funds,Other,2022Q3,0.09,Tab.3.1
All Private Funds,United States,2022Q4,0.527,Tab.3.1
All Private Funds,Cayman Islands,2022Q4,0.321,Tab.3.1
All Private Funds,Luxembourg,2022Q4,0.05,Tab.3.1
All Private Funds,Ireland,2022Q4,0.036,Tab.3.1
All Private Funds,Bermuda,2022Q4,0.01,Tab.3.1
All Private Funds,United Kingdom,2022Q4,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2022Q4,0.008,Tab.3.1
All Private Funds,Other,2022Q4,0.037,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2022Q4,0.526,Tab.3.1
Qualifying Hedge Funds,United States,2022Q4,0.355,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2022Q4,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2022Q4,0.03,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2022Q4,0.029,Tab.3.1
Qualifying Hedge Funds,Bermuda,2022Q4,0.019,Tab.3.1
Qualifying Hedge Funds,Other,2022Q4,0.014,Tab.3.1
Section 3 Liquidity Funds,United States,2022Q4,0.237,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2022Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2022Q4,0.562,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2022Q4,0.28,Tab.3.1
Section 4 Private Equity Funds,Canada,2022Q4,0.021,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2022Q4,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2022Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2022Q4,0.113,Tab.3.1
All Private Funds,United States,2023Q1,0.525,Tab.3.1
All Private Funds,Cayman Islands,2023Q1,0.325,Tab.3.1
All Private Funds,Luxembourg,2023Q1,0.05,Tab.3.1
All Private Funds,Ireland,2023Q1,0.036,Tab.3.1
All Private Funds,Bermuda,2023Q1,0.01,Tab.3.1
All Private Funds,United Kingdom,2023Q1,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2023Q1,0.008,Tab.3.1
All Private Funds,Other,2023Q1,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2023Q1,0.53,Tab.3.1
Qualifying Hedge Funds,United States,2023Q1,0.355,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2023Q1,0.029,Tab.3.1
Qualifying Hedge Funds,Ireland,2023Q1,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2023Q1,0.026,Tab.3.1
Qualifying Hedge Funds,Bermuda,2023Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2023Q1,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2023Q1,0.242,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2023Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2023Q1,0.564,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2023Q1,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2023Q1,0.021,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2023Q1,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2023Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2023Q1,0.11,Tab.3.1
All Private Funds,United States,2023Q2,0.524,Tab.3.1
All Private Funds,Cayman Islands,2023Q2,0.327,Tab.3.1
All Private Funds,Luxembourg,2023Q2,0.049,Tab.3.1
All Private Funds,Ireland,2023Q2,0.036,Tab.3.1
All Private Funds,Bermuda,2023Q2,0.01,Tab.3.1
All Private Funds,United Kingdom,2023Q2,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2023Q2,0.008,Tab.3.1
All Private Funds,Other,2023Q2,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2023Q2,0.533,Tab.3.1
Qualifying Hedge Funds,United States,2023Q2,0.352,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2023Q2,0.03,Tab.3.1
Qualifying Hedge Funds,Ireland,2023Q2,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2023Q2,0.025,Tab.3.1
Qualifying Hedge Funds,Bermuda,2023Q2,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2023Q2,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2023Q2,0.238,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2023Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2023Q2,0.564,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2023Q2,0.28,Tab.3.1
Section 4 Private Equity Funds,Canada,2023Q2,0.021,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2023Q2,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2023Q2,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2023Q2,0.11,Tab.3.1
All Private Funds,United States,2023Q3,0.524,Tab.3.1
All Private Funds,Cayman Islands,2023Q3,0.327,Tab.3.1
All Private Funds,Luxembourg,2023Q3,0.049,Tab.3.1
All Private Funds,Ireland,2023Q3,0.037,Tab.3.1
All Private Funds,Bermuda,2023Q3,0.01,Tab.3.1
All Private Funds,United Kingdom,2023Q3,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2023Q3,0.008,Tab.3.1
All Private Funds,Other,2023Q3,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2023Q3,0.535,Tab.3.1
Qualifying Hedge Funds,United States,2023Q3,0.352,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2023Q3,0.03,Tab.3.1
Qualifying Hedge Funds,Ireland,2023Q3,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2023Q3,0.024,Tab.3.1
Qualifying Hedge Funds,Bermuda,2023Q3,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2023Q3,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2023Q3,0.258,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2023Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2023Q3,0.564,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2023Q3,0.28,Tab.3.1
Section 4 Private Equity Funds,Canada,2023Q3,0.021,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2023Q3,0.014,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2023Q3,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2023Q3,0.11,Tab.3.1
All Private Funds,United States,2023Q4,0.536,Tab.3.1
All Private Funds,Cayman Islands,2023Q4,0.316,Tab.3.1
All Private Funds,Luxembourg,2023Q4,0.049,Tab.3.1
All Private Funds,Ireland,2023Q4,0.034,Tab.3.1
All Private Funds,Bermuda,2023Q4,0.01,Tab.3.1
All Private Funds,United Kingdom,2023Q4,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2023Q4,0.006,Tab.3.1
All Private Funds,Other,2023Q4,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2023Q4,0.54,Tab.3.1
Qualifying Hedge Funds,United States,2023Q4,0.354,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2023Q4,0.028,Tab.3.1
Qualifying Hedge Funds,Ireland,2023Q4,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2023Q4,0.022,Tab.3.1
Qualifying Hedge Funds,Bermuda,2023Q4,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2023Q4,0.015,Tab.3.1
Section 3 Liquidity Funds,United States,2023Q4,0.215,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2023Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2023Q4,0.579,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2023Q4,0.274,Tab.3.1
Section 4 Private Equity Funds,Canada,2023Q4,0.022,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2023Q4,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2023Q4,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2023Q4,0.1,Tab.3.1
All Private Funds,United States,2024Q1,0.537,Tab.3.1
All Private Funds,Cayman Islands,2024Q1,0.317,Tab.3.1
All Private Funds,Luxembourg,2024Q1,0.048,Tab.3.1
All Private Funds,Ireland,2024Q1,0.032,Tab.3.1
All Private Funds,Bermuda,2024Q1,0.011,Tab.3.1
All Private Funds,United Kingdom,2024Q1,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2024Q1,0.006,Tab.3.1
All Private Funds,Other,2024Q1,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2024Q1,0.538,Tab.3.1
Qualifying Hedge Funds,United States,2024Q1,0.354,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2024Q1,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2024Q1,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2024Q1,0.022,Tab.3.1
Qualifying Hedge Funds,Bermuda,2024Q1,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q1,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q1,0.237,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q1,0.579,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q1,0.274,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q1,0.023,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q1,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q1,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q1,0.1,Tab.3.1
All Private Funds,United States,2024Q2,0.536,Tab.3.1
All Private Funds,Cayman Islands,2024Q2,0.317,Tab.3.1
All Private Funds,Luxembourg,2024Q2,0.049,Tab.3.1
All Private Funds,Ireland,2024Q2,0.033,Tab.3.1
All Private Funds,Bermuda,2024Q2,0.011,Tab.3.1
All Private Funds,United Kingdom,2024Q2,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2024Q2,0.006,Tab.3.1
All Private Funds,Other,2024Q2,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2024Q2,0.537,Tab.3.1
Qualifying Hedge Funds,United States,2024Q2,0.356,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2024Q2,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2024Q2,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2024Q2,0.021,Tab.3.1
Qualifying Hedge Funds,Bermuda,2024Q2,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q2,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q2,0.224,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q2,0.579,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q2,0.274,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q2,0.023,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q2,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q2,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q2,0.1,Tab.3.1
All Private Funds,United States,2024Q3,0.534,Tab.3.1
All Private Funds,Cayman Islands,2024Q3,0.318,Tab.3.1
All Private Funds,Luxembourg,2024Q3,0.049,Tab.3.1
All Private Funds,Ireland,2024Q3,0.035,Tab.3.1
All Private Funds,Bermuda,2024Q3,0.011,Tab.3.1
All Private Funds,United Kingdom,2024Q3,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2024Q3,0.006,Tab.3.1
All Private Funds,Other,2024Q3,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2024Q3,0.535,Tab.3.1
Qualifying Hedge Funds,United States,2024Q3,0.357,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2024Q3,0.028,Tab.3.1
Qualifying Hedge Funds,Ireland,2024Q3,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2024Q3,0.02,Tab.3.1
Qualifying Hedge Funds,Bermuda,2024Q3,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q3,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q3,0.221,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q3,0.579,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q3,0.274,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q3,0.023,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q3,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q3,0.1,Tab.3.1
All Private Funds,United States,2024Q4,0.545,Tab.3.1
All Private Funds,Cayman Islands,2024Q4,0.307,Tab.3.1
All Private Funds,Luxembourg,2024Q4,0.05,Tab.3.1
All Private Funds,Ireland,2024Q4,0.034,Tab.3.1
All Private Funds,Bermuda,2024Q4,0.01,Tab.3.1
All Private Funds,United Kingdom,2024Q4,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2024Q4,0.006,Tab.3.1
All Private Funds,Other,2024Q4,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2024Q4,0.54,Tab.3.1
Qualifying Hedge Funds,United States,2024Q4,0.358,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2024Q4,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2024Q4,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2024Q4,0.02,Tab.3.1
Qualifying Hedge Funds,Bermuda,2024Q4,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q4,0.014,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q4,0.203,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q4,0.604,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q4,0.247,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q4,0.025,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q4,0.012,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q4,0.102,Tab.3.1
All Private Funds,United States,2025Q1,0.545,Tab.3.1
All Private Funds,Cayman Islands,2025Q1,0.308,Tab.3.1
All Private Funds,Luxembourg,2025Q1,0.05,Tab.3.1
All Private Funds,Ireland,2025Q1,0.034,Tab.3.1
All Private Funds,Bermuda,2025Q1,0.01,Tab.3.1
All Private Funds,United Kingdom,2025Q1,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2025Q1,0.006,Tab.3.1
All Private Funds,Other,2025Q1,0.038,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2025Q1,0.538,Tab.3.1
Qualifying Hedge Funds,United States,2025Q1,0.363,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2025Q1,0.029,Tab.3.1
Qualifying Hedge Funds,Ireland,2025Q1,0.021,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2025Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Bermuda,2025Q1,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2025Q1,0.015,Tab.3.1
Section 3 Liquidity Funds,United States,2025Q1,0.224,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2025Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2025Q1,0.601,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2025Q1,0.253,Tab.3.1
Section 4 Private Equity Funds,Canada,2025Q1,0.024,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2025Q1,0.012,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2025Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2025Q1,0.1,Tab.3.1
All Private Funds,United States,2013Q1,0.898,Tab.3.2
Qualifying Hedge Funds,United States,2013Q1,0.905,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q1,0.052,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q1,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q1,0.663,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q1,0.981,Tab.3.2
All Private Funds,United States,2013Q2,0.894,Tab.3.2
Qualifying Hedge Funds,United States,2013Q2,0.897,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q2,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q2,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q2,0.664,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q2,0.98,Tab.3.2
All Private Funds,United States,2013Q3,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2013Q3,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q3,0.058,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q3,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q3,0.669,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q3,0.98,Tab.3.2
All Private Funds,United States,2013Q4,0.9,Tab.3.2
Qualifying Hedge Funds,United States,2013Q4,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q4,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q4,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q4,0.668,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q4,0.974,Tab.3.2
All Private Funds,United States,2014Q1,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2014Q1,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q1,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q1,0.007,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q1,0.672,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q1,0.974,Tab.3.2
All Private Funds,United States,2014Q2,0.889,Tab.3.2
Qualifying Hedge Funds,United States,2014Q2,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q2,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q2,0.008,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q2,0.685,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q2,0.974,Tab.3.2
All Private Funds,United States,2014Q3,0.888,Tab.3.2
Qualifying Hedge Funds,United States,2014Q3,0.898,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q3,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q3,0.008,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q3,0.653,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q3,0.975,Tab.3.2
All Private Funds,United States,2014Q4,0.897,Tab.3.2
Qualifying Hedge Funds,United States,2014Q4,0.9,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q4,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q4,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q4,0.636,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q4,0.978,Tab.3.2
All Private Funds,United States,2015Q1,0.896,Tab.3.2
Qualifying Hedge Funds,United States,2015Q1,0.904,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q1,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q1,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q1,0.656,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q1,0.978,Tab.3.2
All Private Funds,United States,2015Q2,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2015Q2,0.902,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q2,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q2,0.015,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q2,0.64,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q2,0.978,Tab.3.2
All Private Funds,United States,2015Q3,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2015Q3,0.902,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q3,0.05,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q3,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q3,0.649,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q3,0.977,Tab.3.2
All Private Funds,United States,2015Q4,0.899,Tab.3.2
Qualifying Hedge Funds,United States,2015Q4,0.893,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q4,0.055,Tab.3.2
