fcm_name,registered_as,dsro,as_of_date,adj_net_capital,net_capital_requirement,excess_net_capital,customer_assets_seg,customer_seg_required,excess_funds_seg,target_residual_seg,funds_section_30_7,customer_pt30_required,excess_funds_30_7,target_residual_30_7,cleared_swap_seg,cleared_swap_required,excess_cleared_swap,target_residual_swap,retail_forex_obligation
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2024-01-31,1147481603,133872443,1013609160,217162234,135858233,81304001,35000000,37984081,4948029,33036052,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2024-01-31,4455174421,949553653,3505620768,7229116211,6926599877,302516334,150000000,2078589945,1953993852,124596093,75000000,1545825340,1280633069,265192271,125000000,0
WEBULL FINANCIAL LLC,FCM BD,NFA,2024-01-31,128481365,1000000,127481365,0,0,0,0,0,0,0,0,0,0,0,0,0
WEDBUSH SECURITIES INC,FCM BD SD,CBOT/NFA,2024-01-31,240278527,108468856,131809671,4202007516,4167064751,34942765,19000000,125390346,120187333,5203013,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2024-01-31,9925639421,1819991218,8105648203,7618439887,6887483525,730956362,125000000,412451746,304504127,107947619,30000000,16994891404,15672425595,1322465809,310000000,0
ABN AMRO CLEARING USA LLC,FCM BD,CBOT,2024-02-29,534522395,248543562,285978833,4666874404,4040764439,626109965,350000000,179180869,143988208,35192661,15000000,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2024-02-29,452914054,288678544,164235510,7206390236,6912930005,293460231,120000000,390717038,343754941,46962097,20000000,10507245,0,10507245,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2024-02-29,38746948,19999447,18747501,551208922,534379158,16829764,8500000,67825165,63819525,4005640,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2024-02-29,13266577,1000000,12266577,80904235,67312370,13591865,900000,1980431,1586755,393676,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2024-02-29,472794138,35443591,437350547,229453725,205386064,24067661,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2024-02-29,5678713987,2631527686,3047186301,17284201612,16462740966,821460646,187000000,4904656419,4679503663,225152756,81000000,14758459238,14309981701,448477537,45000000,0
BITNOMIAL CLEARING LLC,FCM,NFA,2024-02-29,1539607,1000000,539607,538032,31291,506741,100000,0,0,0,0,0,0,0,0,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2024-02-29,2374864624,902259530,1472605094,7320226239,6628478696,691747543,570000000,886626404,662413807,224212597,98000000,2834761457,2582828297,251933160,140000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2024-02-29,19057301999,4384552404,14672749595,28117232952,26936955129,1180277823,200000000,5306628972,5041349912,265279060,150000000,17075076378,16796935771,278140607,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2024-02-29,326932011,1500000,325432011,5226891,0,5226891,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2024-02-29,324243166,47882482,276360684,779683567,617885387,161798180,100000000,0,0,0,0,0,0,0,0,62706779
CHS HEDGING LLC,FCM,CBOT,2024-02-29,77244957,8711166,68533791,137770761,74099168,63671593,24300000,1579468,0,1579468,200000,527469,0,527469,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2024-02-29,17917508780,4484365959,13433142821,17413060541,16903437880,509622661,349300000,4066999891,3707502143,359497748,156100000,31174753572,30514113921,660639651,449400000,0
CLEAR STREET LLC,FCM BD,NFA,2024-02-29,586931961,38653021,548278940,0,0,0,0,0,0,0,0,0,0,0,0,0
COINBASE FINANCIAL MARKETS INC,FCM,NFA,2024-02-29,18569926,1000000,17569926,17128554,9823882,7304672,5000000,0,0,0,0,0,0,0,0,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2024-02-29,4629909374,47078732,4582830642,3517780,0,3517780,1,3316842,0,3316842,1,1571098,0,1571098,1,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2024-02-29,113877698,9183327,104694371,366977088,281410954,85566134,4900000,1149304,415106,734198,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2024-02-29,1329435565,2174156,1327261409,2123049,0,2123049,1,444053,0,444053,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2024-02-29,4185338792,222559319,3962779473,2175188986,2022683955,152505031,100000000,863392393,758447370,104945023,50000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2024-02-29,18320320,7120516,11199804,217742790,209457571,8285219,2500000,2215408,459853,1755555,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2024-02-29,18458664,3303262,15155402,297600443,290477145,7123298,2000000,2908286,1877627,1030659,200000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2024-02-29,59922118,5025897,54896221,149333985,91727677,57606308,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2024-02-29,1973136,1000000,973136,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCM RFED,NFA,2024-02-29,49842831,29968409,19874422,0,0,0,0,0,0,0,0,0,0,0,0,209368174
GH FINANCIALS LLC,FCM,CME,2024-02-29,34196394,12274261,21922133,174778118,159191945,15586173,6100000,6527516,4337878,2189638,500000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2024-02-29,21064564722,5379620820,15684943902,37761943272,36756155921,1005787351,775000000,11050052841,10455495745,594557096,475000000,22158294935,21351975543,806319392,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM,CME,2024-02-29,31713796,1000000,30713796,8185563,0,8185563,3000000,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2024-02-29,1213741543,454913940,758827603,4367024448,4218373668,148650780,121000000,187623258,154025845,33597413,15000000,1878861622,1765587976,113273646,92000000,0
IG US LLC,RFED,NFA,2024-02-29,51406134,22394084,29012050,0,0,0,0,0,0,0,0,0,0,0,0,57881672
INTERACTIVE BROKERS LLC,FCM BD,CME,2024-02-29,7880484043,900604432,6979879611,7228872995,6984805106,244067889,155000000,808006365,678864385,129141980,80000000,0,0,0,0,30909590
IRONBEAM INC,FCM,CME,2024-02-29,10138137,1000000,9138137,103445557,91394477,12051080,1600000,873190,633550,239640,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2024-02-29,633069334,110839456,522229878,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2024-02-29,25254059134,5443580425,19810478709,42473192961,41407837565,1065355396,786748914,6838471923,6498343786,340128137,175455282,23016789510,22003270982,1013518528,682101400,0
LIME TRADING CORP,FCM BD,NFA,2024-02-29,11198179,1000000,10198179,46093,0,46093,20000,40010,0,40010,20000,0,0,0,0,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2024-02-29,568251347,386209306,182042041,4343478448,4163933130,179545318,100000000,367109144,322261657,44847487,7000000,5178902,0,5178902,1000000,0
MAREX CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2024-02-29,558356439,299929181,258427258,6962911275,6799108065,163803210,90000000,194259075,162853860,31405215,12000000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2024-02-29,13883772,1606463,12277309,430181101,406922364,23258737,18000000,2756463,0,2756463,1000000,0,0,0,0,0
MFI FUNDING LLC,FCM,NFA,2024-02-29,110230284,1000000,109230284,0,0,0,0,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2024-02-29,16258902,3022494,13236408,36474365,19945177,16529188,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2024-02-29,2245658,1000000,1245658,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2024-02-29,1610122863,517625883,1092496980,9641014459,9241307144,399707315,150000000,1709582118,1530674278,178907840,70000000,21655115,0,21655115,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2024-02-29,18064356060,4416992299,13647363761,28417142079,27861581578,555560501,235000000,9618205831,9410920068,207285763,140000000,28404480363,28049273598,355206765,92000000,0
NANHUA USA LLC,FCM,CME,2024-02-29,36446641,21347840,15098801,371973309,341735497,30237812,3500000,357395,1092,356303,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2024-02-29,591801585,1076234,590725351,7503655,0,7503655,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2024-02-29,14862412,1000000,13862412,257975758,237350244,20625514,4000000,2963504,1515937,1447567,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2024-02-29,1976602508,180234508,1796368000,137579563,94528212,43051351,15000000,1250000,0,1250000,1000000,0,0,0,0,0
OANDA CORPORATION,FCMRFD,NFA,2024-02-29,43143829,28736680,14407149,0,0,0,0,0,0,0,0,0,0,0,0,179833242
PHILLIP CAPITAL INC,FCM BD,CME,2024-02-29,105801340,46065807,59735533,916804653,865906568,50898085,15500000,21129958,17601674,3528284,1000000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2024-02-29,50278179,7485220,42792959,111627429,105651865,5975564,1500000,28152652,24410843,3741809,900000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2024-02-29,2025988934,490617186,1535371748,4110266326,3673489516,436776810,260000000,497576831,384968852,112607979,20000000,1831390457,1475040770,356349687,120000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2024-02-29,338155647,231350298,106805349,5767376468,5515994258,251382210,50000000,303451278,272453570,30997708,20000000,0,0,0,0,0
ROBINHOOD DERIVATIVES LLC,FCM,CME,2024-02-29,80386499,1000000,79386499,101,0,101,1,50,0,50,1,0,0,0,0,0
SANTANDER US CAPITAL MARKETS LLC,FCM BD,NYME,2024-02-29,616646945,168170844,448476101,2282117441,2202904205,79213236,70000000,0,0,0,0,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2024-02-29,1127567695,114589619,1012978076,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2024-02-29,5263440326,1931627795,3331812531,18895163248,18392713153,502450095,200000000,8051922447,7645120086,406802361,200000000,1719629793,1498176655,221453138,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2024-02-29,384156471,250485771,133670700,5802857354,5741328058,61529296,40000000,258474680,246579952,11894728,6000000,0,0,0,0,0
STRAITS FINANCIAL LLC,FCM,CME,2024-02-29,36035423,14768725,21266698,617166644,601515416,15651228,2000000,29225486,18065256,11160230,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2024-02-29,234680723,14988783,219691940,981544024,907071842,74472182,9000000,18119673,13874112,4245561,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2024-02-29,25142441,20000000,5142441,0,0,0,0,0,0,0,0,0,0,0,0,1602558
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2024-02-29,869498118,141344577,728153541,223979053,138992461,84986592,35000000,38045629,4756211,33289418,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2024-02-29,4316797633,877610734,3439186899,7399449878,7097322506,302127372,150000000,2196300790,2070872090,125428700,75000000,1556044406,1328986067,227058339,125000000,0
WEBULL FINANCIAL LLC,FCM BD,NFA,2024-02-29,131192818,1000000,130192818,1154863,2587,1152276,150000,0,0,0,0,0,0,0,0,0
WEDBUSH SECURITIES INC,FCM BD SD,CBOT/NFA,2024-02-29,263862851,90772331,173090520,3949821153,3912738882,37082271,19000000,111397043,101950254,9446789,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2024-02-29,9636857976,1713520384,7923337592,6761458275,6230719143,530739132,180000000,422451912,313579151,108872761,30000000,16502044181,15766961575,735082606,340000000,0
ABN AMRO CLEARING USA LLC,FCM BD,CBOT,2024-03-31,670508888,247689892,422818996,4583507114,3960078175,623428939,350000000,172642784,137440348,35202436,15000000,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2024-03-31,441065671,308652094,132413577,7507245269,7259238707,248006562,120000000,420489507,373257592,47231915,20000000,10548985,0,10548985,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2024-03-31,38518597,20525619,17992978,618623313,602095709,16527604,8500000,76324086,71882555,4441531,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2024-03-31,13483977,1000000,12483977,82342840,68637696,13705144,900000,1939257,1492215,447042,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2024-03-31,469467328,33037811,436429517,230663739,203398122,27265617,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2024-03-31,7000277467,2654634340,4345643127,17681367779,17310229566,371138213,187000000,5110388612,4860365180,250023432,81000000,15855355211,15363276555,492078656,45000000,0
BITNOMIAL CLEARING LLC,FCM,NFA,2024-03-31,1544630,1000000,544630,654762,145944,508818,100000,0,0,0,0,0,0,0,0,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2024-03-31,2547953821,904793672,1643160149,7323247388,6624350302,698897086,570000000,1041304498,765533462,275771036,98000000,2767596753,2565192262,202404491,140000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2024-03-31,20287516750,4344136064,15943380686,28846786804,27771325964,1075460840,200000000,5138882533,4885988444,252894089,150000000,17401658593,16908303376,493355217,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2024-03-31,339662047,2525763,337136284,5249912,0,5249912,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2024-03-31,334841286,46848058,287993228,868778593,705014159,163764434,100000000,0,0,0,0,0,0,0,0,62417888
CHS HEDGING LLC,FCM,CBOT,2024-03-31,77294277,9899821,67394456,137184359,74562517,62621842,24300000,1583821,0,1583821,200000,528922,0,528922,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2024-03-31,18811102405,4366871413,14444230992,17222007130,16650845156,571161974,381500000,4347308212,4010200539,337107673,163100000,30493088223,29833331896,659756327,442400000,0
CLEAR STREET LLC,FCM BD,CME,2024-03-31,588373875,39579758,548794117,0,0,0,0,0,0,0,0,0,0,0,0,0
COINBASE FINANCIAL MARKETS INC,FCM,NFA,2024-03-31,18435066,1000000,17435066,22564454,14884817,7679637,5000000,0,0,0,0,0,0,0,0,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2024-03-31,3473876873,46268214,3427608659,3031765,0,3031765,1,2824014,0,2824014,1,1375282,0,1375282,1,0
CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2024-03-31,114793984,8579240,106214744,360838442,272720972,88117470,4900000,1316526,545388,771138,100000,0,0,0,0,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2024-03-31,1301834593,2008593,1299826000,2121893,0,2121893,1,444113,0,444113,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2024-03-31,4680242522,223255608,4456986914,2415016638,2264101951,150914687,100000000,854277012,753497921,100779091,50000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2024-03-31,18054330,7798917,10255413,229197416,220335392,8862024,2500000,2269223,500067,1769156,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2024-03-31,18303628,4321216,13982412,310644476,304809011,5835465,2000000,2834091,1823005,1011086,200000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2024-03-31,60868486,5207889,55660597,155263934,96155451,59108483,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2024-03-31,1980189,1000000,980189,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCM RFED,NFA,2024-03-31,50572482,29921226,20651256,0,0,0,0,0,0,0,0,0,0,0,0,208424525
GH FINANCIALS LLC,FCM,CME,2024-03-31,30564588,11534942,19029646,188165666,171031108,17134558,6100000,7514177,5289383,2224794,500000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2024-03-31,21147290778,5213504288,15933786490,37388524013,36398684147,989839866,775000000,11186467748,10586982812,599484936,475000000,21056141342,20206256254,849885088,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM,CME,2024-03-31,31406288,1000000,30406288,8616693,407818,8208875,3860807,0,0,0,0,0,0,0,0,0
HSBC SECURITIES USA INC,FCM BD,CME,2024-03-31,1196013828,451918011,744095817,4552229116,4402954276,149274840,117000000,181127836,148107360,33020476,15000000,1813296196,1698319761,114976435,92000000,0
IG US LLC,RFED,NFA,2024-03-31,57773437,22531202,35242235,0,0,0,0,0,0,0,0,0,0,0,0,60624035
INTERACTIVE BROKERS LLC,FCM BD,CME,2024-03-31,7764510558,975552058,6788958500,7816287286,7518856008,297431278,155000000,852517782,726582533,125935249,80000000,0,0,0,0,32168386
IRONBEAM INC,FCM,CME,2024-03-31,13260266,4286191,8974075,201186539,188721165,12465374,1600000,905475,669117,236358,60000,0,0,0,0,0
JEFFERIES LLC,FCM BD,NFA,2024-03-31,1178896895,116274507,1062622388,0,0,0,0,0,0,0,0,0,0,0,0,0
JP MORGAN SECURITIES LLC,FCM BD SD,CEI/NFA,2024-03-31,25460811968,5440256654,20020555314,41594948834,40489056178,1105892656,769292067,7113980469,6714930060,399050409,181303112,23168699908,22137023399,1031676509,686247725,0
LIME TRADING CORP,FCM BD,NFA,2024-03-31,10977250,1000000,9977250,46094,0,46094,20000,40010,0,40010,20000,0,0,0,0,0
MACQUARIE FUTURES USA LLC,FCM,CBOT,2024-03-31,561904797,370570553,191334244,4142334600,3954336632,187997968,100000000,341763198,299072469,42690729,7000000,5180383,0,5180383,1000000,0
MAREX CAPITAL MARKETS INC,FCM BD SD,CME/NFA,2024-03-31,558774519,337628334,221146185,7339022145,7160354025,178668120,90000000,213872047,182792817,31079230,12000000,0,0,0,0,0
MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2024-03-31,14478198,1229537,13248661,425845118,402694859,23150259,18000000,2767371,0,2767371,1000000,0,0,0,0,0
MFI FUNDING LLC,FCM,NFA,2024-03-31,110836968,1000000,109836968,0,0,0,0,0,0,0,0,0,0,0,0,0
MID CO COMMODITIES INC,FCM,NFA,2024-03-31,16470204,3157199,13313005,38176399,21614520,16561879,5138000,0,0,0,0,0,0,0,0,0
MINT BROKERS,FCM BD,NFA,2024-03-31,2243119,1000000,1243119,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZUHO SECURITIES USA LLC,FCM BD,CME,2024-03-31,1657585474,546680777,1110904697,10393840826,9990705765,403135061,150000000,1674253481,1495029570,179223911,70000000,21728433,0,21728433,10000000,0
MORGAN STANLEY & CO LLC,FCM BD SD,CME/NFA,2024-03-31,18627911209,4482819148,14145092061,28202430047,27653224542,549205505,235000000,10185836446,9984647447,201188999,140000000,28080840074,27768742802,312097272,92000000,0
NANHUA USA LLC,FCM,CME,2024-03-31,37915550,28367204,9548346,501792413,470097559,31694854,3500000,357395,1092,356303,100000,0,0,0,0,0
NATWEST MARKETS SECURITIES INC,FCM BD,CBOT,2024-03-31,612647045,2108426,610538619,7504225,0,7504225,5000000,0,0,0,0,0,0,0,0,0
NINJATRADER CLEARING LLC,FCM,NFA,2024-03-31,16446784,1000000,15446784,261625688,240078619,21547069,4000000,2930458,1496613,1433845,400000,0,0,0,0,0
NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2024-03-31,2384290057,179327174,2204962883,123146628,79499104,43647524,15000000,1250000,0,1250000,1000000,0,0,0,0,0
OANDA CORPORATION,FCMRFD,NFA,2024-03-31,49145344,28944028,20201316,0,0,0,0,0,0,0,0,0,0,0,0,183994482
PHILLIP CAPITAL INC,FCM BD,CME,2024-03-31,106294273,49713971,56580302,873886309,824836701,49049608,15500000,27740571,24216100,3524471,1000000,0,0,0,0,0
PICTET OVERSEAS INC,FCM BD,NFA,2024-03-31,37434712,7233560,30201152,111060083,105022947,6037136,1500000,24708814,20907688,3801126,900000,0,0,0,0,0
RBC CAPITAL MARKETS LLC,FCM BD,CME,2024-03-31,1847340103,490725467,1356614636,4178724882,3743048260,435676622,260000000,561711345,458271723,103439622,40000000,1938280089,1579221933,359058156,120000000,0
RJ OBRIEN ASSOCIATES LLC,FCM SD,CME/NFA,2024-03-31,331926694,238380173,93546521,6251576188,6013032960,238543228,50000000,323393390,290984271,32409119,20000000,0,0,0,0,0
ROBINHOOD DERIVATIVES LLC,FCM,NFA,2024-03-31,50201695,1000000,49201695,101,0,101,1,51,0,51,1,0,0,0,0,0
SANTANDER US CAPITAL MARKETS LLC,FCM BD,NYME,2024-03-31,619341141,149271527,470069614,2136514217,2058411125,78103092,70000000,0,0,0,0,0,0,0,0,0
SCOTIA CAPITAL USA INC,FCM BD,CME,2024-03-31,1245999882,122247891,1123751991,0,0,0,0,0,0,0,0,0,0,0,0,0
SG AMERICAS SECURITIES LLC,FCM BD,CME,2024-03-31,5282411437,1896998886,3385412551,20126097077,19639192375,486904702,200000000,8246034895,7861759507,384275388,200000000,1862805494,1641546868,221258626,80000000,0
STONEX FINANCIAL INC,FCM BD,CME,2024-03-31,351232292,257165272,94067020,6446259771,6377887684,68372087,40000000,297357782,278485036,18872746,6000000,0,0,0,0,0
STRAITS FINANCIAL LLC,FCM,CME,2024-03-31,36886545,15350977,21535568,611232283,595013271,16219012,2000000,41083469,29826993,11256476,300000,0,0,0,0,0
TRADESTATION SECURITIES INC,FCM BD,CME,2024-03-31,218092524,13474553,204617971,892428673,813678917,78749756,9000000,16523069,12539183,3983886,800000,0,0,0,0,0
TRADING.COM MARKETS INC,RFED,NFA,2024-03-31,25039620,20000000,5039620,0,0,0,0,0,0,0,0,0,0,0,0,1759867
UBS FINANCIAL SERVICES INC,FCM BD,NFA,2024-03-31,864165619,140330480,723835139,221008267,140473607,80534660,35000000,38141081,4815572,33325509,15000000,0,0,0,0,0
UBS SECURITIES LLC,FCM BD,CBOT,2024-03-31,4154595409,1023810830,3130784579,7376066382,7071051670,305014712,150000000,2191803220,2065287726,126515494,75000000,1399119508,1171435713,227683795,125000000,0
WEBULL FINANCIAL LLC,FCM BD,NFA,2024-03-31,146840520,2161950,144678570,2897074,1195236,1701838,150000,0,0,0,0,0,0,0,0,0
WEDBUSH SECURITIES INC,FCM BD SD,CBOT/NFA,2024-03-31,261418580,106320021,155098559,3939176397,3903734584,35441813,25000000,56166489,47685908,8480581,1000000,0,0,0,0,0
WELLS FARGO SECURITIES LLC,FCM BD,CME,2024-03-31,9654757144,1697165212,7957591932,6332931279,5598681182,734250097,180000000,378727251,268787225,109940026,30000000,17007301695,16257055338,750246357,380000000,0
ABN AMRO CLEARING USA LLC,FCM BD,CBOT,2024-04-30,737356120,247752588,489603532,4412902769,3810071208,602831561,350000000,223009404,186745028,36264376,15000000,0,0,0,0,0
ADM INVESTOR SERVICES INC,FCM,CBOT,2024-04-30,458358429,300499178,157859251,7406975731,7142548954,264426777,120000000,420242028,373819324,46422704,20000000,10589379,0,10589379,8000000,0
ADVANTAGE FUTURES LLC,FCM,CME,2024-04-30,34475383,15473202,19002181,616924747,599654567,17270180,8500000,77310030,72974073,4335957,1000000,0,0,0,0,0
AMP GLOBAL CLEARING LLC,FCM,NFA,2024-04-30,13888621,1000000,12888621,83435430,69183451,14251979,900000,1815820,1470352,345468,150000,0,0,0,0,0
APEX CLEARING CORPORATION,FCM BD,NFA,2024-04-30,432392084,32612483,399779601,237114989,210219778,26895211,10000000,0,0,0,0,0,0,0,0,0
BARCLAYS CAPITAL INC,FCM BD,NYME,2024-04-30,6379512441,2659987646,3719524795,18834260821,18488380775,345880046,187000000,5137234667,4916543597,220691070,81000000,15650563553,15168074893,482488660,45000000,0
BITNOMIAL CLEARING LLC,FCM,NFA,2024-04-30,1549992,1000000,549992,657177,145944,511233,100000,0,0,0,0,0,0,0,0,0
BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2024-04-30,2423346322,870144470,1553201852,7331839046,6618966277,712872769,570000000,948453684,710235864,238217820,98000000,2747206037,2560232338,186973699,140000000,0
BOFA SECURITIES INC,FCM BD,CBOT,2024-04-30,19668547428,4137468830,15531078598,28281665953,27190420058,1091245895,200000000,5111751152,4866072245,245678907,150000000,16924274033,16053303660,870970373,150000000,0
CANTOR FITZGERALD & CO,FCM BD,CBOT,2024-04-30,412241646,1500000,410741646,5272289,0,5272289,3000000,0,0,0,0,0,0,0,0,0
CHARLES SCHWAB FUTURES AND FOREX LLC,FCM,NFA,2024-04-30,347096614,50890039,296206575,735791461,587248913,148542548,100000000,0,0,0,0,0,0,0,0,61730989
CHS HEDGING LLC,FCM,CBOT,2024-04-30,77332079,8704821,68627258,132316652,69857850,62458802,24300000,1588046,0,1588046,200000,530333,0,530333,120000,0
CITIGROUP GLOBAL MARKETS INC,FCM BD SD,CBOT/NFA,2024-04-30,17941582174,4208252313,13733329861,16742320584,16224148836,518171748,344400000,4752748823,4412723300,340025523,163100000,29866895401,29220082972,646812429,442400000,0
CLEAR STREET LLC,FCM BD,CME,2024-04-30,538676611,48404583,490272028,0,0,0,0,0,0,0,0,0,0,0,0,0
COINBASE FINANCIAL MARKETS INC,FCM,NFA,2024-04-30,18732279,1000000,17732279,23059503,15030640,8028863,5000000,0,0,0,0,0,0,0,0,0
CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2024-04-30,3524431389,43776635,3480654754,3039769,0,3039769,1,2831501,0,2831501,1,1378897,0,1378897,1,0
DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2024-04-30,1331083852,1500000,1329583852,2117024,0,2117024,1,440959,0,440959,1,0,0,0,0,0
DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2024-04-30,4525313360,225608350,4299705010,2576607767,2423699516,152908251,100000000,710827344,614181873,96645471,50000000,0,0,0,0,0
DIRECT ACCESS USA LLC,FCM,CME,2024-04-30,18383637,5850177,12533460,248970036,237668028,11302008,2500000,2653937,876743,1777194,1000000,0,0,0,0,0
DORMAN TRADING LLC,FCM,CME,2024-04-30,18092334,4116872,13975462,305037478,299382076,5655402,2000000,2868986,1744219,1124767,200000,0,0,0,0,0
ETRADE FUTURES LLC,FCM,NFA,2024-04-30,60926233,5652497,55273736,142264772,83403183,58861589,11000000,0,0,0,0,0,0,0,0,0
FUTU FUTURES INC,FCM,NFA,2024-04-30,1973973,1000000,973973,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIN CAPITAL GROUP LLC,FCM RFED,NFA,2024-04-30,52797349,29718371,23078978,0,0,0,0,0,0,0,0,0,0,0,0,204367417
GH FINANCIALS LLC,FCM,CME,2024-04-30,30366253,12978462,17387791,180925132,161782087,19143045,6100000,11575899,9301145,2274754,350000,0,0,0,0,0
GOLDMAN SACHS & CO LLC,FCM BD SD,CBOT/NFA,2024-04-30,20012123109,5132573877,14879549232,34749524926,33685390713,1064134213,775000000,10960427610,10421287203,539140407,475000000,20430288621,19625345854,804942767,350000000,0
HIDDEN ROAD PARTNERS CIV US LLC,FCM,CME,2024-04-30,31389475,1000000,30389475,8810152,566182,8243970,3860807,0,0,0,0,0,0,0,0,0
