top_n,quarter,nav_share,table,gav_share,borrowing_share,derivative_share
Top 10,2025Q1,0.082,Tab.6.3,0.201,0.363,0.433
Top 100,2013Q1,0.313,Tab.6.3,0.406,0.686,0.848
Top 100,2013Q2,0.311,Tab.6.3,0.405,0.695,0.817
Top 100,2013Q3,0.307,Tab.6.3,0.398,0.679,0.792
Top 100,2013Q4,0.3,Tab.6.3,0.378,0.652,0.775
Top 100,2014Q1,0.296,Tab.6.3,0.385,0.64,0.761
Top 100,2014Q2,0.295,Tab.6.3,0.385,0.635,0.759
Top 100,2014Q3,0.293,Tab.6.3,0.394,0.64,0.751
Top 100,2014Q4,0.291,Tab.6.3,0.385,0.658,0.731
Top 100,2015Q1,0.299,Tab.6.3,0.4,0.663,0.742
Top 100,2015Q2,0.299,Tab.6.3,0.392,0.653,0.724
Top 100,2015Q3,0.293,Tab.6.3,0.401,0.665,0.74
Top 100,2015Q4,0.295,Tab.6.3,0.388,0.65,0.712
Top 100,2016Q1,0.292,Tab.6.3,0.401,0.663,0.721
Top 100,2016Q2,0.292,Tab.6.3,0.408,0.676,0.727
Top 100,2016Q3,0.292,Tab.6.3,0.411,0.687,0.736
Top 100,2016Q4,0.291,Tab.6.3,0.411,0.686,0.734
Top 100,2017Q1,0.287,Tab.6.3,0.417,0.689,0.735
Top 100,2017Q2,0.286,Tab.6.3,0.412,0.693,0.721
Top 100,2017Q3,0.285,Tab.6.3,0.422,0.703,0.737
Top 100,2017Q4,0.288,Tab.6.3,0.414,0.709,0.728
Top 100,2018Q1,0.286,Tab.6.3,0.42,0.712,0.739
Top 100,2018Q2,0.284,Tab.6.3,0.417,0.708,0.735
Top 100,2018Q3,0.284,Tab.6.3,0.425,0.711,0.732
Top 100,2018Q4,0.279,Tab.6.3,0.435,0.734,0.737
Top 100,2019Q1,0.281,Tab.6.3,0.435,0.735,0.75
Top 100,2019Q2,0.281,Tab.6.3,0.432,0.729,0.725
Top 100,2019Q3,0.282,Tab.6.3,0.428,0.731,0.735
Top 100,2019Q4,0.278,Tab.6.3,0.424,0.731,0.721
Top 100,2020Q1,0.281,Tab.6.3,0.436,0.735,0.762
Top 100,2020Q2,0.282,Tab.6.3,0.416,0.736,0.734
Top 100,2020Q3,0.287,Tab.6.3,0.425,0.74,0.767
Top 100,2020Q4,0.283,Tab.6.3,0.415,0.723,0.77
Top 100,2021Q1,0.279,Tab.6.3,0.405,0.711,0.779
Top 100,2021Q2,0.276,Tab.6.3,0.408,0.708,0.783
Top 100,2021Q3,0.279,Tab.6.3,0.424,0.711,0.797
Top 100,2021Q4,0.277,Tab.6.3,0.42,0.723,0.786
Top 100,2022Q1,0.276,Tab.6.3,0.421,0.716,0.791
Top 100,2022Q2,0.274,Tab.6.3,0.425,0.721,0.785
Top 100,2022Q3,0.276,Tab.6.3,0.426,0.725,0.79
Top 100,2022Q4,0.27,Tab.6.3,0.431,0.737,0.798
Top 100,2023Q1,0.274,Tab.6.3,0.434,0.747,0.799
Top 100,2023Q2,0.274,Tab.6.3,0.447,0.749,0.795
Top 100,2023Q3,0.275,Tab.6.3,0.462,0.758,0.793
Top 100,2023Q4,0.27,Tab.6.3,0.472,0.775,0.801
Top 100,2024Q1,0.273,Tab.6.3,0.468,0.772,0.801
Top 100,2024Q2,0.275,Tab.6.3,0.469,0.77,0.808
Top 100,2024Q3,0.276,Tab.6.3,0.486,0.785,0.816
Top 100,2024Q4,0.273,Tab.6.3,0.48,0.777,0.807
Top 100,2025Q1,0.273,Tab.6.3,0.496,0.787,0.817
