strategy,quarter,gav,nav,borrowing
Equity,2015Q2,1403.0,862.0,3.2
Equity,2015Q3,1265.0,787.0,3.1
Equity,2015Q4,1340.0,817.0,3.2
Equity,2016Q1,1239.0,776.0,3.4
Equity,2016Q2,1241.0,775.0,3.2
Equity,2016Q3,1290.0,807.0,3.1
Equity,2016Q4,1212.0,761.0,3.0
Equity,2017Q1,1289.0,799.0,3.2
Equity,2017Q2,1364.0,842.0,3.2
Equity,2017Q3,1417.0,883.0,3.2
Equity,2017Q4,1446.0,909.0,3.2
Equity,2018Q1,1495.0,901.0,4.0
Equity,2018Q2,1536.0,946.0,3.3
Equity,2018Q3,1644.0,993.0,3.6
Equity,2018Q4,1413.0,850.0,3.5
Equity,2019Q1,1536.0,922.0,3.6
Equity,2019Q2,1550.0,957.0,3.3
Equity,2019Q3,1523.0,934.0,3.3
Equity,2019Q4,1599.0,982.0,3.1
Equity,2020Q1,1294.0,838.0,2.7
Equity,2020Q2,1594.0,989.0,3.0
Equity,2020Q3,1693.0,1078.0,3.0
Equity,2020Q4,1929.0,1224.0,2.8
Equity,2021Q1,2056.0,1327.0,2.9
Equity,2021Q2,2205.0,1431.0,2.9
Equity,2021Q3,2202.0,1446.0,2.9
Equity,2021Q4,2208.0,1436.0,3.0
Equity,2022Q1,1973.0,1265.0,2.8
Equity,2022Q2,1629.0,1035.0,2.9
Equity,2022Q3,1552.0,981.0,2.9
Equity,2022Q4,1654.0,1015.0,2.9
Equity,2023Q1,1639.0,1013.0,2.9
Equity,2023Q2,1805.0,1091.0,3.0
Equity,2023Q3,1726.0,1054.0,3.0
Equity,2023Q4,1781.0,1064.0,3.0
Equity,2024Q1,1932.0,1150.0,3.1
Equity,2024Q2,2102.0,1228.0,3.3
Equity,2024Q3,2314.0,1222.0,4.3
Equity,2024Q4,2429.0,1253.0,4.4
Equity,2025Q1,2527.0,1321.0,4.8
Event Driven,2013Q1,228.0,169.0,1.9
Event Driven,2013Q2,245.0,185.0,1.9
Event Driven,2013Q3,254.0,191.0,1.8
Event Driven,2013Q4,280.0,210.0,1.9
Event Driven,2014Q1,347.0,256.0,2.1
Event Driven,2014Q2,392.0,288.0,2.1
Event Driven,2014Q3,388.0,288.0,2.2
Event Driven,2014Q4,369.0,274.0,2.2
Event Driven,2015Q1,389.0,293.0,2.1
Event Driven,2015Q2,406.0,297.0,2.3
Event Driven,2015Q3,363.0,268.0,2.2
Event Driven,2015Q4,309.0,225.0,2.1
Event Driven,2016Q1,294.0,212.0,2.1
Event Driven,2016Q2,255.0,188.0,2.1
Event Driven,2016Q3,273.0,205.0,2.0
Event Driven,2016Q4,270.0,201.0,2.0
Event Driven,2017Q1,266.0,198.0,2.2
Event Driven,2017Q2,286.0,212.0,2.0
Event Driven,2017Q3,295.0,222.0,2.0
Event Driven,2017Q4,288.0,219.0,2.0
Event Driven,2018Q1,277.0,211.0,2.0
Event Driven,2018Q2,273.0,210.0,1.9
Event Driven,2018Q3,274.0,210.0,1.9
Event Driven,2018Q4,247.0,195.0,1.8
Event Driven,2019Q1,244.0,193.0,1.8
Event Driven,2019Q2,279.0,209.0,2.0
Event Driven,2019Q3,244.0,192.0,1.9
Event Driven,2019Q4,254.0,195.0,1.9
Event Driven,2020Q1,217.0,160.0,1.9
Event Driven,2020Q2,249.0,183.0,1.8
Event Driven,2020Q3,249.0,188.0,1.8
Event Driven,2020Q4,269.0,200.0,1.9
Event Driven,2021Q1,328.0,228.0,2.0
Event Driven,2021Q2,338.0,233.0,2.1
Event Driven,2021Q3,335.0,243.0,2.0
Event Driven,2021Q4,343.0,250.0,1.9
Event Driven,2022Q1,353.0,252.0,1.9
Event Driven,2022Q2,321.0,229.0,2.0
Event Driven,2022Q3,299.0,223.0,1.8
Event Driven,2022Q4,292.0,218.0,1.8
Event Driven,2023Q1,295.0,226.0,2.1
Event Driven,2023Q2,287.0,213.0,2.1
Event Driven,2023Q3,266.0,207.0,1.9
Event Driven,2023Q4,264.0,206.0,1.8
Event Driven,2024Q1,254.0,204.0,1.7
Event Driven,2024Q2,254.0,202.0,1.7
Event Driven,2024Q3,271.0,216.0,1.7
Event Driven,2024Q4,248.0,193.0,1.7
Event Driven,2025Q1,273.0,188.0,1.7
Investment in other funds,2013Q1,24.0,22.0,1.4
Investment in other funds,2013Q2,24.0,22.0,1.4
Investment in other funds,2013Q3,26.0,24.0,1.5
Investment in other funds,2013Q4,54.0,51.0,2.4
Investment in other funds,2014Q1,58.0,54.0,2.4
Investment in other funds,2014Q2,59.0,54.0,2.5
Investment in other funds,2014Q3,70.0,62.0,2.8
Investment in other funds,2014Q4,64.0,56.0,1.9
Investment in other funds,2015Q1,59.0,54.0,1.7
Investment in other funds,2015Q2,54.0,49.0,1.7
Investment in other funds,2015Q3,52.0,47.0,1.4
Investment in other funds,2015Q4,48.0,43.0,1.5
Investment in other funds,2016Q1,38.0,35.0,1.9
Investment in other funds,2016Q2,36.0,34.0,1.4
Investment in other funds,2016Q3,38.0,35.0,1.5
Investment in other funds,2016Q4,38.0,35.0,1.4
Investment in other funds,2017Q1,37.0,34.0,1.7
Investment in other funds,2017Q2,21.0,20.0,1.6
Investment in other funds,2017Q3,,,
Investment in other funds,2017Q4,25.0,24.0,1.7
Investment in other funds,2018Q1,27.0,22.0,2.6
Investment in other funds,2018Q2,24.0,22.0,2.4
Investment in other funds,2018Q3,32.0,28.0,3.6
Investment in other funds,2018Q4,95.0,20.0,14.8
Investment in other funds,2019Q1,102.0,23.0,12.0
Investment in other funds,2019Q2,25.0,22.0,2.4
Investment in other funds,2019Q3,103.0,27.0,10.3
Investment in other funds,2019Q4,26.0,22.0,1.9
Investment in other funds,2020Q1,36.0,30.0,1.8
Investment in other funds,2020Q2,29.0,22.0,2.0
Investment in other funds,2020Q3,28.0,22.0,2.0
Investment in other funds,2020Q4,28.0,23.0,2.1
Investment in other funds,2021Q1,20.0,16.0,1.9
Investment in other funds,2021Q2,28.0,22.0,2.9
Investment in other funds,2021Q3,28.0,21.0,3.3
Investment in other funds,2021Q4,46.0,36.0,3.3
Investment in other funds,2022Q1,48.0,39.0,2.8
Investment in other funds,2022Q2,59.0,39.0,4.1
Investment in other funds,2022Q3,51.0,37.0,4.0
Investment in other funds,2022Q4,57.0,44.0,3.0
Investment in other funds,2023Q1,59.0,44.0,3.7
Investment in other funds,2023Q2,58.0,40.0,3.8
Investment in other funds,2023Q3,65.0,42.0,3.8
Investment in other funds,2023Q4,44.0,28.0,3.6
Investment in other funds,2024Q1,39.0,30.0,3.0
Investment in other funds,2024Q2,40.0,30.0,3.0
Investment in other funds,2024Q3,41.0,31.0,3.2
Investment in other funds,2024Q4,39.0,29.0,3.0
Investment in other funds,2025Q1,55.0,41.0,2.6
Macro,2013Q1,521.0,222.0,18.1
Macro,2013Q2,544.0,219.0,19.3
Macro,2013Q3,521.0,204.0,18.9
Macro,2013Q4,512.0,226.0,17.5
Macro,2014Q1,547.0,223.0,17.4
Macro,2014Q2,558.0,238.0,16.6
Macro,2014Q3,596.0,232.0,18.0
Macro,2014Q4,606.0,239.0,16.0
Macro,2015Q1,572.0,242.0,16.0
Macro,2015Q2,533.0,235.0,14.8
Macro,2015Q3,575.0,230.0,15.9
Macro,2015Q4,507.0,203.0,13.8
Macro,2016Q1,534.0,188.0,14.9
Macro,2016Q2,662.0,209.0,14.9
Macro,2016Q3,668.0,212.0,11.5
Macro,2016Q4,685.0,207.0,13.6
Macro,2017Q1,874.0,230.0,17.7
Macro,2017Q2,753.0,210.0,18.1
Macro,2017Q3,769.0,198.0,20.6
Macro,2017Q4,763.0,204.0,21.5
Macro,2018Q1,854.0,220.0,26.8
Macro,2018Q2,922.0,222.0,27.7
Macro,2018Q3,886.0,202.0,23.8
Macro,2018Q4,718.0,183.0,24.6
Macro,2019Q1,808.0,194.0,28.0
Macro,2019Q2,816.0,183.0,29.1
Macro,2019Q3,775.0,184.0,25.7
